Pair,Delta (microHz)
38.615838-27.831448,10.784390
38.631593-27.831448,10.800145
38.663104-27.831448,10.831656
38.718247-27.831448,10.886799
38.773390-27.831448,10.941942
38.875798-27.831448,11.044350
38.899431-27.831448,11.067983
38.970329-27.831448,11.138881
39.238166-27.831448,11.406718
39.324819-27.831448,11.493371
39.348452-27.831448,11.517004
39.450860-27.831448,11.619412
39.608412-27.831448,11.776964
39.671432-27.831448,11.839984
39.718698-27.831448,11.887250
39.742330-27.831448,11.910882
39.797473-27.831448,11.966025
39.836861-27.831448,12.005413
39.923514-27.831448,12.092066
39.986535-27.831448,12.155087
40.025923-27.831448,12.194475
40.041678-27.831448,12.210230
40.057433-27.831448,12.225985
40.112576-27.831448,12.281128
40.128331-27.831448,12.296883
40.183474-27.831448,12.352026
40.230740-27.831448,12.399292
40.254372-27.831448,12.422924
40.270127-27.831448,12.438679
40.301638-27.831448,12.470190
40.348903-27.831448,12.517455
40.388291-27.831448,12.556843
40.419801-27.831448,12.588353
40.435556-27.831448,12.604108
40.608863-27.831448,12.777415
40.750659-27.831448,12.919211
42.302540-27.831448,14.471092
42.349805-27.831448,14.518357
42.365561-27.831448,14.534113
42.404948-27.831448,14.573500
42.444336-27.831448,14.612888
42.460091-27.831448,14.628643
42.491602-27.831448,14.660154
42.562500-27.831448,14.731052
42.586132-27.831448,14.754684
42.814582-27.831448,14.983134
42.861847-27.831448,15.030399
43.050909-27.831448,15.219461
43.838666-27.831448,16.007218
43.996217-27.831448,16.164769
44.130136-27.831448,16.298688
44.145891-27.831448,16.314443
44.169524-27.831448,16.338076
44.248299-27.831448,16.416851
44.516137-27.831448,16.684689
46.776999-27.831448,18.945551
27.878713-27.862958,0.015755
27.894468-27.862958,0.031510
27.910223-27.862958,0.047265
27.933856-27.862958,0.070898
27.957489-27.862958,0.094531
27.981121-27.862958,0.118163
28.004754-27.862958,0.141796
28.020509-27.862958,0.157551
28.036264-27.862958,0.173306
28.052020-27.862958,0.189062
28.075652-27.862958,0.212694
28.193816-27.862958,0.330858
28.430143-27.862958,0.567185
29.265165-27.862958,1.402207
29.304553-27.862958,1.441595
29.438472-27.862958,1.575514
29.454227-27.862958,1.591269
29.469982-27.862958,1.607024
29.501492-27.862958,1.638534
29.643288-27.862958,1.780330
29.682676-27.862958,1.819718
29.745697-27.862958,1.882739
29.792962-27.862958,1.930004
29.832350-27.862958,1.969392
29.911126-27.862958,2.048168
29.934758-27.862958,2.071800
29.982024-27.862958,2.119066
29.997779-27.862958,2.134821
30.013534-27.862958,2.150576
30.029289-27.862958,2.166331
30.076555-27.862958,2.213597
30.100187-27.862958,2.237229
30.115942-27.862958,2.252984
30.139575-27.862958,2.276617
30.155330-27.862958,2.292372
30.178963-27.862958,2.316005
30.202596-27.862958,2.339638
30.249861-27.862958,2.386903
30.281371-27.862958,2.418413
30.297126-27.862958,2.434168
30.320759-27.862958,2.457801
30.352269-27.862958,2.489311
30.375902-27.862958,2.512944
30.391657-27.862958,2.528699
30.454678-27.862958,2.591720
30.501943-27.862958,2.638985
30.533453-27.862958,2.670495
30.549209-27.862958,2.686251
30.596474-27.862958,2.733516
30.627984-27.862958,2.765026
30.911577-27.862958,3.048619
30.935209-27.862958,3.072251
30.982475-27.862958,3.119517
31.037618-27.862958,3.174660
31.108516-27.862958,3.245558
31.195169-27.862958,3.332211
31.226679-27.862958,3.363721
31.266067-27.862958,3.403109
31.289700-27.862958,3.426742
31.336965-27.862958,3.474007
31.360598-27.862958,3.497640
31.384231-27.862958,3.521273
31.399986-27.862958,3.537028
31.415741-27.862958,3.552783
31.470884-27.862958,3.607926
31.533905-27.862958,3.670947
31.565415-27.862958,3.702457
31.589048-27.862958,3.726090
31.636313-27.862958,3.773355
31.707211-27.862958,3.844253
31.722966-27.862958,3.860008
31.738721-27.862958,3.875763
31.762354-27.862958,3.899396
31.793864-27.862958,3.930906
31.833252-27.862958,3.970294
31.849007-27.862958,3.986049
31.888395-27.862958,4.025437
31.912028-27.862958,4.049070
31.943538-27.862958,4.080580
31.990804-27.862958,4.127846
32.022314-27.862958,4.159356
32.053824-27.862958,4.190866
32.069579-27.862958,4.206621
32.093212-27.862958,4.230254
32.132600-27.862958,4.269642
32.148355-27.862958,4.285397
32.187743-27.862958,4.324785
32.235008-27.862958,4.372050
32.290151-27.862958,4.427193
32.313784-27.862958,4.450826
32.447702-27.862958,4.584744
32.494968-27.862958,4.632010
32.526478-27.862958,4.663520
32.557988-27.862958,4.695030
32.573744-27.862958,4.710786
32.715540-27.862958,4.852582
33.345745-27.862958,5.482787
33.377256-27.862958,5.514298
33.416643-27.862958,5.553685
33.456031-27.862958,5.593073
33.582072-27.862958,5.719114
33.660848-27.862958,5.797890
33.708113-27.862958,5.845155
33.723868-27.862958,5.860910
33.747501-27.862958,5.884543
33.771134-27.862958,5.908176
33.786889-27.862958,5.923931
33.842032-27.862958,5.979074
33.857787-27.862958,5.994829
33.873542-27.862958,6.010584
33.897175-27.862958,6.034217
33.920808-27.862958,6.057850
33.936563-27.862958,6.073605
33.968073-27.862958,6.105115
34.007461-27.862958,6.144503
34.031094-27.862958,6.168136
34.070481-27.862958,6.207523
34.101992-27.862958,6.239034
34.117747-27.862958,6.254789
34.141380-27.862958,6.278422
34.157135-27.862958,6.294177
34.204400-27.862958,6.341442
34.228033-27.862958,6.365075
34.259543-27.862958,6.396585
34.275298-27.862958,6.412340
34.306809-27.862958,6.443851
34.330441-27.862958,6.467483
34.354074-27.862958,6.491116
34.401339-27.862958,6.538381
34.417094-27.862958,6.554136
34.456482-27.862958,6.593524
34.480115-27.862958,6.617157
34.495870-27.862958,6.632912
34.535258-27.862958,6.672300
34.606156-27.862958,6.743198
34.645544-27.862958,6.782586
35.055177-27.862958,7.192219
35.133953-27.862958,7.270995
35.157586-27.862958,7.294628
35.212729-27.862958,7.349771
35.228484-27.862958,7.365526
35.259994-27.862958,7.397036
35.291505-27.862958,7.428547
35.330892-27.862958,7.467934
35.354525-27.862958,7.491567
35.370280-27.862958,7.507322
35.393913-27.862958,7.530955
35.417546-27.862958,7.554588
35.433301-27.862958,7.570343
35.480566-27.862958,7.617608
35.519954-27.862958,7.656996
35.535709-27.862958,7.672751
35.575097-27.862958,7.712139
35.606607-27.862958,7.743649
35.638118-27.862958,7.775160
35.685383-27.862958,7.822425
35.740526-27.862958,7.877568
35.795669-27.862958,7.932711
35.819302-27.862958,7.956344
35.890200-27.862958,8.027242
35.921710-27.862958,8.058752
35.937465-27.862958,8.074507
35.953220-27.862958,8.090262
35.992608-27.862958,8.129650
36.016241-27.862958,8.153283
36.031996-27.862958,8.169038
36.047751-27.862958,8.184793
36.063506-27.862958,8.200548
36.079261-27.862958,8.216303
36.095016-27.862958,8.232058
36.118649-27.862958,8.255691
36.142282-27.862958,8.279324
36.173792-27.862958,8.310834
36.197425-27.862958,8.334467
36.228935-27.862958,8.365977
36.252568-27.862958,8.389610
36.268323-27.862958,8.405365
36.323466-27.862958,8.460508
36.394364-27.862958,8.531406
37.914735-27.862958,10.051777
37.977755-27.862958,10.114797
38.040776-27.862958,10.177818
38.064408-27.862958,10.201450
38.111674-27.862958,10.248716
38.158939-27.862958,10.295981
38.190450-27.862958,10.327492
38.206205-27.862958,10.343247
38.245593-27.862958,10.382635
38.269225-27.862958,10.406267
38.308613-27.862958,10.445655
38.324368-27.862958,10.461410
38.340123-27.862958,10.477165
38.355878-27.862958,10.492920
38.379511-27.862958,10.516553
38.395266-27.862958,10.532308
38.426777-27.862958,10.563819
38.466164-27.862958,10.603206
38.497675-27.862958,10.634717
38.615838-27.862958,10.752880
38.631593-27.862958,10.768635
38.663104-27.862958,10.800146
38.718247-27.862958,10.855289
38.773390-27.862958,10.910432
38.875798-27.862958,11.012840
38.899431-27.862958,11.036473
38.970329-27.862958,11.107371
39.238166-27.862958,11.375208
39.324819-27.862958,11.461861
39.348452-27.862958,11.485494
39.450860-27.862958,11.587902
39.608412-27.862958,11.745454
39.671432-27.862958,11.808474
39.718698-27.862958,11.855740
39.742330-27.862958,11.879372
39.797473-27.862958,11.934515
39.836861-27.862958,11.973903
39.923514-27.862958,12.060556
39.986535-27.862958,12.123577
40.025923-27.862958,12.162965
40.041678-27.862958,12.178720
40.057433-27.862958,12.194475
40.112576-27.862958,12.249618
40.128331-27.862958,12.265373
40.183474-27.862958,12.320516
40.230740-27.862958,12.367782
40.254372-27.862958,12.391414
40.270127-27.862958,12.407169
40.301638-27.862958,12.438680
40.348903-27.862958,12.485945
40.388291-27.862958,12.525333
40.419801-27.862958,12.556843
40.435556-27.862958,12.572598
40.608863-27.862958,12.745905
40.750659-27.862958,12.887701
42.302540-27.862958,14.439582
42.349805-27.862958,14.486847
42.365561-27.862958,14.502603
42.404948-27.862958,14.541990
42.444336-27.862958,14.581378
42.460091-27.862958,14.597133
42.491602-27.862958,14.628644
42.562500-27.862958,14.699542
42.586132-27.862958,14.723174
42.814582-27.862958,14.951624
42.861847-27.862958,14.998889
43.050909-27.862958,15.187951
43.838666-27.862958,15.975708
43.996217-27.862958,16.133259
44.130136-27.862958,16.267178
44.145891-27.862958,16.282933
44.169524-27.862958,16.306566
44.248299-27.862958,16.385341
44.516137-27.862958,16.653179
46.776999-27.862958,18.914041
27.894468-27.878713,0.015755
27.910223-27.878713,0.031510
27.933856-27.878713,0.055143
27.957489-27.878713,0.078776
27.981121-27.878713,0.102408
28.004754-27.878713,0.126041
28.020509-27.878713,0.141796
28.036264-27.878713,0.157551
28.052020-27.878713,0.173307
28.075652-27.878713,0.196939
28.193816-27.878713,0.315103
28.430143-27.878713,0.551430
29.265165-27.878713,1.386452
29.304553-27.878713,1.425840
29.438472-27.878713,1.559759
29.454227-27.878713,1.575514
29.469982-27.878713,1.591269
29.501492-27.878713,1.622779
29.643288-27.878713,1.764575
29.682676-27.878713,1.803963
29.745697-27.878713,1.866984
29.792962-27.878713,1.914249
29.832350-27.878713,1.953637
29.911126-27.878713,2.032413
29.934758-27.878713,2.056045
29.982024-27.878713,2.103311
29.997779-27.878713,2.119066
30.013534-27.878713,2.134821
30.029289-27.878713,2.150576
30.076555-27.878713,2.197842
30.100187-27.878713,2.221474
30.115942-27.878713,2.237229
30.139575-27.878713,2.260862
30.155330-27.878713,2.276617
30.178963-27.878713,2.300250
30.202596-27.878713,2.323883
30.249861-27.878713,2.371148
30.281371-27.878713,2.402658
30.297126-27.878713,2.418413
30.320759-27.878713,2.442046
30.352269-27.878713,2.473556
30.375902-27.878713,2.497189
30.391657-27.878713,2.512944
30.454678-27.878713,2.575965
30.501943-27.878713,2.623230
30.533453-27.878713,2.654740
30.549209-27.878713,2.670496
30.596474-27.878713,2.717761
30.627984-27.878713,2.749271
30.911577-27.878713,3.032864
30.935209-27.878713,3.056496
30.982475-27.878713,3.103762
31.037618-27.878713,3.158905
31.108516-27.878713,3.229803
31.195169-27.878713,3.316456
31.226679-27.878713,3.347966
31.266067-27.878713,3.387354
31.289700-27.878713,3.410987
31.336965-27.878713,3.458252
31.360598-27.878713,3.481885
31.384231-27.878713,3.505518
31.399986-27.878713,3.521273
31.415741-27.878713,3.537028
31.470884-27.878713,3.592171
31.533905-27.878713,3.655192
31.565415-27.878713,3.686702
31.589048-27.878713,3.710335
31.636313-27.878713,3.757600
31.707211-27.878713,3.828498
31.722966-27.878713,3.844253
31.738721-27.878713,3.860008
31.762354-27.878713,3.883641
31.793864-27.878713,3.915151
31.833252-27.878713,3.954539
31.849007-27.878713,3.970294
31.888395-27.878713,4.009682
31.912028-27.878713,4.033315
31.943538-27.878713,4.064825
31.990804-27.878713,4.112091
32.022314-27.878713,4.143601
32.053824-27.878713,4.175111
32.069579-27.878713,4.190866
32.093212-27.878713,4.214499
32.132600-27.878713,4.253887
32.148355-27.878713,4.269642
32.187743-27.878713,4.309030
32.235008-27.878713,4.356295
32.290151-27.878713,4.411438
32.313784-27.878713,4.435071
32.447702-27.878713,4.568989
32.494968-27.878713,4.616255
32.526478-27.878713,4.647765
32.557988-27.878713,4.679275
32.573744-27.878713,4.695031
32.715540-27.878713,4.836827
33.345745-27.878713,5.467032
33.377256-27.878713,5.498543
33.416643-27.878713,5.537930
33.456031-27.878713,5.577318
33.582072-27.878713,5.703359
33.660848-27.878713,5.782135
33.708113-27.878713,5.829400
33.723868-27.878713,5.845155
33.747501-27.878713,5.868788
33.771134-27.878713,5.892421
33.786889-27.878713,5.908176
33.842032-27.878713,5.963319
33.857787-27.878713,5.979074
33.873542-27.878713,5.994829
33.897175-27.878713,6.018462
33.920808-27.878713,6.042095
33.936563-27.878713,6.057850
33.968073-27.878713,6.089360
34.007461-27.878713,6.128748
34.031094-27.878713,6.152381
34.070481-27.878713,6.191768
34.101992-27.878713,6.223279
34.117747-27.878713,6.239034
34.141380-27.878713,6.262667
34.157135-27.878713,6.278422
34.204400-27.878713,6.325687
34.228033-27.878713,6.349320
34.259543-27.878713,6.380830
34.275298-27.878713,6.396585
34.306809-27.878713,6.428096
34.330441-27.878713,6.451728
34.354074-27.878713,6.475361
34.401339-27.878713,6.522626
34.417094-27.878713,6.538381
34.456482-27.878713,6.577769
34.480115-27.878713,6.601402
34.495870-27.878713,6.617157
34.535258-27.878713,6.656545
34.606156-27.878713,6.727443
34.645544-27.878713,6.766831
35.055177-27.878713,7.176464
35.133953-27.878713,7.255240
35.157586-27.878713,7.278873
35.212729-27.878713,7.334016
35.228484-27.878713,7.349771
35.259994-27.878713,7.381281
35.291505-27.878713,7.412792
35.330892-27.878713,7.452179
35.354525-27.878713,7.475812
35.370280-27.878713,7.491567
35.393913-27.878713,7.515200
35.417546-27.878713,7.538833
35.433301-27.878713,7.554588
35.480566-27.878713,7.601853
35.519954-27.878713,7.641241
35.535709-27.878713,7.656996
35.575097-27.878713,7.696384
35.606607-27.878713,7.727894
35.638118-27.878713,7.759405
35.685383-27.878713,7.806670
35.740526-27.878713,7.861813
35.795669-27.878713,7.916956
35.819302-27.878713,7.940589
35.890200-27.878713,8.011487
35.921710-27.878713,8.042997
35.937465-27.878713,8.058752
35.953220-27.878713,8.074507
35.992608-27.878713,8.113895
36.016241-27.878713,8.137528
36.031996-27.878713,8.153283
36.047751-27.878713,8.169038
36.063506-27.878713,8.184793
36.079261-27.878713,8.200548
36.095016-27.878713,8.216303
36.118649-27.878713,8.239936
36.142282-27.878713,8.263569
36.173792-27.878713,8.295079
36.197425-27.878713,8.318712
36.228935-27.878713,8.350222
36.252568-27.878713,8.373855
36.268323-27.878713,8.389610
36.323466-27.878713,8.444753
36.394364-27.878713,8.515651
37.914735-27.878713,10.036022
37.977755-27.878713,10.099042
38.040776-27.878713,10.162063
38.064408-27.878713,10.185695
38.111674-27.878713,10.232961
38.158939-27.878713,10.280226
38.190450-27.878713,10.311737
38.206205-27.878713,10.327492
38.245593-27.878713,10.366880
38.269225-27.878713,10.390512
38.308613-27.878713,10.429900
38.324368-27.878713,10.445655
38.340123-27.878713,10.461410
38.355878-27.878713,10.477165
38.379511-27.878713,10.500798
38.395266-27.878713,10.516553
38.426777-27.878713,10.548064
38.466164-27.878713,10.587451
38.497675-27.878713,10.618962
38.615838-27.878713,10.737125
38.631593-27.878713,10.752880
38.663104-27.878713,10.784391
38.718247-27.878713,10.839534
38.773390-27.878713,10.894677
38.875798-27.878713,10.997085
38.899431-27.878713,11.020718
38.970329-27.878713,11.091616
39.238166-27.878713,11.359453
39.324819-27.878713,11.446106
39.348452-27.878713,11.469739
39.450860-27.878713,11.572147
39.608412-27.878713,11.729699
39.671432-27.878713,11.792719
39.718698-27.878713,11.839985
39.742330-27.878713,11.863617
39.797473-27.878713,11.918760
39.836861-27.878713,11.958148
39.923514-27.878713,12.044801
39.986535-27.878713,12.107822
40.025923-27.878713,12.147210
40.041678-27.878713,12.162965
40.057433-27.878713,12.178720
40.112576-27.878713,12.233863
40.128331-27.878713,12.249618
40.183474-27.878713,12.304761
40.230740-27.878713,12.352027
40.254372-27.878713,12.375659
40.270127-27.878713,12.391414
40.301638-27.878713,12.422925
40.348903-27.878713,12.470190
40.388291-27.878713,12.509578
40.419801-27.878713,12.541088
40.435556-27.878713,12.556843
40.608863-27.878713,12.730150
40.750659-27.878713,12.871946
42.302540-27.878713,14.423827
42.349805-27.878713,14.471092
42.365561-27.878713,14.486848
42.404948-27.878713,14.526235
42.444336-27.878713,14.565623
42.460091-27.878713,14.581378
42.491602-27.878713,14.612889
42.562500-27.878713,14.683787
42.586132-27.878713,14.707419
42.814582-27.878713,14.935869
42.861847-27.878713,14.983134
43.050909-27.878713,15.172196
43.838666-27.878713,15.959953
43.996217-27.878713,16.117504
44.130136-27.878713,16.251423
44.145891-27.878713,16.267178
44.169524-27.878713,16.290811
44.248299-27.878713,16.369586
44.516137-27.878713,16.637424
46.776999-27.878713,18.898286
27.910223-27.894468,0.015755
27.933856-27.894468,0.039388
27.957489-27.894468,0.063021
27.981121-27.894468,0.086653
28.004754-27.894468,0.110286
28.020509-27.894468,0.126041
28.036264-27.894468,0.141796
28.052020-27.894468,0.157552
28.075652-27.894468,0.181184
28.193816-27.894468,0.299348
28.430143-27.894468,0.535675
29.265165-27.894468,1.370697
29.304553-27.894468,1.410085
29.438472-27.894468,1.544004
29.454227-27.894468,1.559759
29.469982-27.894468,1.575514
29.501492-27.894468,1.607024
29.643288-27.894468,1.748820
29.682676-27.894468,1.788208
29.745697-27.894468,1.851229
29.792962-27.894468,1.898494
29.832350-27.894468,1.937882
29.911126-27.894468,2.016658
29.934758-27.894468,2.040290
29.982024-27.894468,2.087556
29.997779-27.894468,2.103311
30.013534-27.894468,2.119066
30.029289-27.894468,2.134821
30.076555-27.894468,2.182087
30.100187-27.894468,2.205719
30.115942-27.894468,2.221474
30.139575-27.894468,2.245107
30.155330-27.894468,2.260862
30.178963-27.894468,2.284495
30.202596-27.894468,2.308128
30.249861-27.894468,2.355393
30.281371-27.894468,2.386903
30.297126-27.894468,2.402658
30.320759-27.894468,2.426291
30.352269-27.894468,2.457801
30.375902-27.894468,2.481434
30.391657-27.894468,2.497189
30.454678-27.894468,2.560210
30.501943-27.894468,2.607475
30.533453-27.894468,2.638985
30.549209-27.894468,2.654741
30.596474-27.894468,2.702006
30.627984-27.894468,2.733516
30.911577-27.894468,3.017109
30.935209-27.894468,3.040741
30.982475-27.894468,3.088007
31.037618-27.894468,3.143150
31.108516-27.894468,3.214048
31.195169-27.894468,3.300701
31.226679-27.894468,3.332211
31.266067-27.894468,3.371599
31.289700-27.894468,3.395232
31.336965-27.894468,3.442497
31.360598-27.894468,3.466130
31.384231-27.894468,3.489763
31.399986-27.894468,3.505518
31.415741-27.894468,3.521273
31.470884-27.894468,3.576416
31.533905-27.894468,3.639437
31.565415-27.894468,3.670947
31.589048-27.894468,3.694580
31.636313-27.894468,3.741845
31.707211-27.894468,3.812743
31.722966-27.894468,3.828498
31.738721-27.894468,3.844253
31.762354-27.894468,3.867886
31.793864-27.894468,3.899396
31.833252-27.894468,3.938784
31.849007-27.894468,3.954539
31.888395-27.894468,3.993927
31.912028-27.894468,4.017560
31.943538-27.894468,4.049070
31.990804-27.894468,4.096336
32.022314-27.894468,4.127846
32.053824-27.894468,4.159356
32.069579-27.894468,4.175111
32.093212-27.894468,4.198744
32.132600-27.894468,4.238132
32.148355-27.894468,4.253887
32.187743-27.894468,4.293275
32.235008-27.894468,4.340540
32.290151-27.894468,4.395683
32.313784-27.894468,4.419316
32.447702-27.894468,4.553234
32.494968-27.894468,4.600500
32.526478-27.894468,4.632010
32.557988-27.894468,4.663520
32.573744-27.894468,4.679276
32.715540-27.894468,4.821072
33.345745-27.894468,5.451277
33.377256-27.894468,5.482788
33.416643-27.894468,5.522175
33.456031-27.894468,5.561563
33.582072-27.894468,5.687604
33.660848-27.894468,5.766380
33.708113-27.894468,5.813645
33.723868-27.894468,5.829400
33.747501-27.894468,5.853033
33.771134-27.894468,5.876666
33.786889-27.894468,5.892421
33.842032-27.894468,5.947564
33.857787-27.894468,5.963319
33.873542-27.894468,5.979074
33.897175-27.894468,6.002707
33.920808-27.894468,6.026340
33.936563-27.894468,6.042095
33.968073-27.894468,6.073605
34.007461-27.894468,6.112993
34.031094-27.894468,6.136626
34.070481-27.894468,6.176013
34.101992-27.894468,6.207524
34.117747-27.894468,6.223279
34.141380-27.894468,6.246912
34.157135-27.894468,6.262667
34.204400-27.894468,6.309932
34.228033-27.894468,6.333565
34.259543-27.894468,6.365075
34.275298-27.894468,6.380830
34.306809-27.894468,6.412341
34.330441-27.894468,6.435973
34.354074-27.894468,6.459606
34.401339-27.894468,6.506871
34.417094-27.894468,6.522626
34.456482-27.894468,6.562014
34.480115-27.894468,6.585647
34.495870-27.894468,6.601402
34.535258-27.894468,6.640790
34.606156-27.894468,6.711688
34.645544-27.894468,6.751076
35.055177-27.894468,7.160709
35.133953-27.894468,7.239485
35.157586-27.894468,7.263118
35.212729-27.894468,7.318261
35.228484-27.894468,7.334016
35.259994-27.894468,7.365526
35.291505-27.894468,7.397037
35.330892-27.894468,7.436424
35.354525-27.894468,7.460057
35.370280-27.894468,7.475812
35.393913-27.894468,7.499445
35.417546-27.894468,7.523078
35.433301-27.894468,7.538833
35.480566-27.894468,7.586098
35.519954-27.894468,7.625486
35.535709-27.894468,7.641241
35.575097-27.894468,7.680629
35.606607-27.894468,7.712139
35.638118-27.894468,7.743650
35.685383-27.894468,7.790915
35.740526-27.894468,7.846058
35.795669-27.894468,7.901201
35.819302-27.894468,7.924834
35.890200-27.894468,7.995732
35.921710-27.894468,8.027242
35.937465-27.894468,8.042997
35.953220-27.894468,8.058752
35.992608-27.894468,8.098140
36.016241-27.894468,8.121773
36.031996-27.894468,8.137528
36.047751-27.894468,8.153283
36.063506-27.894468,8.169038
36.079261-27.894468,8.184793
36.095016-27.894468,8.200548
36.118649-27.894468,8.224181
36.142282-27.894468,8.247814
36.173792-27.894468,8.279324
36.197425-27.894468,8.302957
36.228935-27.894468,8.334467
36.252568-27.894468,8.358100
36.268323-27.894468,8.373855
36.323466-27.894468,8.428998
36.394364-27.894468,8.499896
37.914735-27.894468,10.020267
37.977755-27.894468,10.083287
38.040776-27.894468,10.146308
38.064408-27.894468,10.169940
38.111674-27.894468,10.217206
38.158939-27.894468,10.264471
38.190450-27.894468,10.295982
38.206205-27.894468,10.311737
38.245593-27.894468,10.351125
38.269225-27.894468,10.374757
38.308613-27.894468,10.414145
38.324368-27.894468,10.429900
38.340123-27.894468,10.445655
38.355878-27.894468,10.461410
38.379511-27.894468,10.485043
38.395266-27.894468,10.500798
38.426777-27.894468,10.532309
38.466164-27.894468,10.571696
38.497675-27.894468,10.603207
38.615838-27.894468,10.721370
38.631593-27.894468,10.737125
38.663104-27.894468,10.768636
38.718247-27.894468,10.823779
38.773390-27.894468,10.878922
38.875798-27.894468,10.981330
38.899431-27.894468,11.004963
38.970329-27.894468,11.075861
39.238166-27.894468,11.343698
39.324819-27.894468,11.430351
39.348452-27.894468,11.453984
39.450860-27.894468,11.556392
39.608412-27.894468,11.713944
39.671432-27.894468,11.776964
39.718698-27.894468,11.824230
39.742330-27.894468,11.847862
39.797473-27.894468,11.903005
39.836861-27.894468,11.942393
39.923514-27.894468,12.029046
39.986535-27.894468,12.092067
40.025923-27.894468,12.131455
40.041678-27.894468,12.147210
40.057433-27.894468,12.162965
40.112576-27.894468,12.218108
40.128331-27.894468,12.233863
40.183474-27.894468,12.289006
40.230740-27.894468,12.336272
40.254372-27.894468,12.359904
40.270127-27.894468,12.375659
40.301638-27.894468,12.407170
40.348903-27.894468,12.454435
40.388291-27.894468,12.493823
40.419801-27.894468,12.525333
40.435556-27.894468,12.541088
40.608863-27.894468,12.714395
40.750659-27.894468,12.856191
42.302540-27.894468,14.408072
42.349805-27.894468,14.455337
42.365561-27.894468,14.471093
42.404948-27.894468,14.510480
42.444336-27.894468,14.549868
42.460091-27.894468,14.565623
42.491602-27.894468,14.597134
42.562500-27.894468,14.668032
42.586132-27.894468,14.691664
42.814582-27.894468,14.920114
42.861847-27.894468,14.967379
43.050909-27.894468,15.156441
43.838666-27.894468,15.944198
43.996217-27.894468,16.101749
44.130136-27.894468,16.235668
44.145891-27.894468,16.251423
44.169524-27.894468,16.275056
44.248299-27.894468,16.353831
44.516137-27.894468,16.621669
46.776999-27.894468,18.882531
27.933856-27.910223,0.023633
27.957489-27.910223,0.047266
27.981121-27.910223,0.070898
28.004754-27.910223,0.094531
28.020509-27.910223,0.110286
28.036264-27.910223,0.126041
28.052020-27.910223,0.141797
28.075652-27.910223,0.165429
28.193816-27.910223,0.283593
28.430143-27.910223,0.519920
29.265165-27.910223,1.354942
29.304553-27.910223,1.394330
29.438472-27.910223,1.528249
29.454227-27.910223,1.544004
29.469982-27.910223,1.559759
29.501492-27.910223,1.591269
29.643288-27.910223,1.733065
29.682676-27.910223,1.772453
29.745697-27.910223,1.835474
29.792962-27.910223,1.882739
29.832350-27.910223,1.922127
29.911126-27.910223,2.000903
29.934758-27.910223,2.024535
29.982024-27.910223,2.071801
29.997779-27.910223,2.087556
30.013534-27.910223,2.103311
30.029289-27.910223,2.119066
30.076555-27.910223,2.166332
30.100187-27.910223,2.189964
30.115942-27.910223,2.205719
30.139575-27.910223,2.229352
30.155330-27.910223,2.245107
30.178963-27.910223,2.268740
30.202596-27.910223,2.292373
30.249861-27.910223,2.339638
30.281371-27.910223,2.371148
30.297126-27.910223,2.386903
30.320759-27.910223,2.410536
30.352269-27.910223,2.442046
30.375902-27.910223,2.465679
30.391657-27.910223,2.481434
30.454678-27.910223,2.544455
30.501943-27.910223,2.591720
30.533453-27.910223,2.623230
30.549209-27.910223,2.638986
30.596474-27.910223,2.686251
30.627984-27.910223,2.717761
30.911577-27.910223,3.001354
30.935209-27.910223,3.024986
30.982475-27.910223,3.072252
31.037618-27.910223,3.127395
31.108516-27.910223,3.198293
31.195169-27.910223,3.284946
31.226679-27.910223,3.316456
31.266067-27.910223,3.355844
31.289700-27.910223,3.379477
31.336965-27.910223,3.426742
31.360598-27.910223,3.450375
31.384231-27.910223,3.474008
31.399986-27.910223,3.489763
31.415741-27.910223,3.505518
31.470884-27.910223,3.560661
31.533905-27.910223,3.623682
31.565415-27.910223,3.655192
31.589048-27.910223,3.678825
31.636313-27.910223,3.726090
31.707211-27.910223,3.796988
31.722966-27.910223,3.812743
31.738721-27.910223,3.828498
31.762354-27.910223,3.852131
31.793864-27.910223,3.883641
31.833252-27.910223,3.923029
31.849007-27.910223,3.938784
31.888395-27.910223,3.978172
31.912028-27.910223,4.001805
31.943538-27.910223,4.033315
31.990804-27.910223,4.080581
32.022314-27.910223,4.112091
32.053824-27.910223,4.143601
32.069579-27.910223,4.159356
32.093212-27.910223,4.182989
32.132600-27.910223,4.222377
32.148355-27.910223,4.238132
32.187743-27.910223,4.277520
32.235008-27.910223,4.324785
32.290151-27.910223,4.379928
32.313784-27.910223,4.403561
32.447702-27.910223,4.537479
32.494968-27.910223,4.584745
32.526478-27.910223,4.616255
32.557988-27.910223,4.647765
32.573744-27.910223,4.663521
32.715540-27.910223,4.805317
33.345745-27.910223,5.435522
33.377256-27.910223,5.467033
33.416643-27.910223,5.506420
33.456031-27.910223,5.545808
33.582072-27.910223,5.671849
33.660848-27.910223,5.750625
33.708113-27.910223,5.797890
33.723868-27.910223,5.813645
33.747501-27.910223,5.837278
33.771134-27.910223,5.860911
33.786889-27.910223,5.876666
33.842032-27.910223,5.931809
33.857787-27.910223,5.947564
33.873542-27.910223,5.963319
33.897175-27.910223,5.986952
33.920808-27.910223,6.010585
33.936563-27.910223,6.026340
33.968073-27.910223,6.057850
34.007461-27.910223,6.097238
34.031094-27.910223,6.120871
34.070481-27.910223,6.160258
34.101992-27.910223,6.191769
34.117747-27.910223,6.207524
34.141380-27.910223,6.231157
