Pair,Delta (mHz)
1.758491-1.000004,0.758487
1.759079-1.000004,0.759075
1.759667-1.000004,0.759662
1.759961-1.000004,0.759956
1.760401-1.000004,0.760397
1.799626-1.000004,0.799621
1.800213-1.000004,0.800209
1.800654-1.000004,0.800650
1.800948-1.000004,0.800944
1.801389-1.000004,0.801384
1.801682-1.000004,0.801678
1.802123-1.000004,0.802119
1.802564-1.000004,0.802560
1.804180-1.000004,0.804176
1.804621-1.000004,0.804616
1.805208-1.000004,0.805204
1.805502-1.000004,0.805498
1.805796-1.000004,0.805792
1.806090-1.000004,0.806085
1.806530-1.000004,0.806526
1.809469-1.000004,0.809464
1.834296-1.000004,0.834292
1.838997-1.000004,0.838993
1.841641-1.000004,0.841637
1.842523-1.000004,0.842519
1.842964-1.000004,0.842959
1.843257-1.000004,0.843253
1.844139-1.000004,0.844135
1.845167-1.000004,0.845163
1.856773-1.000004,0.856769
1.885126-1.000004,0.885122
1.885420-1.000004,0.885416
1.885714-1.000004,0.885710
1.886008-1.000004,0.886003
1.887036-1.000004,0.887032
1.888946-1.000004,0.888942
1.889681-1.000004,0.889676
1.889974-1.000004,0.889970
1.890268-1.000004,0.890264
1.891003-1.000004,0.890998
1.921853-1.000004,0.921849
1.925526-1.000004,0.925522
1.927436-1.000004,0.927432
1.927877-1.000004,0.927872
1.928758-1.000004,0.928754
1.929052-1.000004,0.929048
1.938748-1.000004,0.938743
1.947269-1.000004,0.947264
1.969599-1.000004,0.969594
1.971949-1.000004,0.971945
1.972684-1.000004,0.972679
1.973859-1.000004,0.973855
1.974593-1.000004,0.974589
1.988403-1.000004,0.988398
1.988697-1.000004,0.988692
2.003828-1.000004,1.003824
2.011174-1.000004,1.011169
2.011614-1.000004,1.011610
2.012349-1.000004,1.012345
2.013230-1.000004,1.013226
2.015581-1.000004,1.015576
2.049663-1.000004,1.049659
2.056274-1.000004,1.056270
2.060388-1.000004,1.060383
2.061122-1.000004,1.061118
2.091239-1.000004,1.091234
2.095499-1.000004,1.095495
2.098584-1.000004,1.098580
2.103432-1.000004,1.103428
2.114009-1.000004,1.114005
2.136046-1.000004,1.136041
2.168806-1.000004,1.168802
2.173801-1.000004,1.173797
2.183644-1.000004,1.183639
2.208178-1.000004,1.208173
2.215964-1.000004,1.215959
2.225807-1.000004,1.225802
