Pair,Delta (mHz)
1.887036-1.028798,0.858238
1.888946-1.028798,0.860148
1.889681-1.028798,0.860882
1.889974-1.028798,0.861176
1.890268-1.028798,0.861470
1.891003-1.028798,0.862204
1.921853-1.028798,0.893055
1.925526-1.028798,0.896728
1.927436-1.028798,0.898638
1.927877-1.028798,0.899078
1.928758-1.028798,0.899960
1.929052-1.028798,0.900254
1.938748-1.028798,0.909950
1.947269-1.028798,0.918470
1.969599-1.028798,0.940800
1.971949-1.028798,0.943151
1.972684-1.028798,0.943885
1.973859-1.028798,0.945061
1.974593-1.028798,0.945795
1.988403-1.028798,0.959605
1.988697-1.028798,0.959898
2.003828-1.028798,0.975030
2.011174-1.028798,0.982375
2.011614-1.028798,0.982816
2.012349-1.028798,0.983551
2.013230-1.028798,0.984432
2.015581-1.028798,0.986783
2.049663-1.028798,1.020865
2.056274-1.028798,1.027476
2.060388-1.028798,1.031590
2.061122-1.028798,1.032324
2.091239-1.028798,1.062440
2.095499-1.028798,1.066701
2.098584-1.028798,1.069786
2.103432-1.028798,1.074634
2.114009-1.028798,1.085211
2.136046-1.028798,1.107247
2.168806-1.028798,1.140008
2.173801-1.028798,1.145003
2.183644-1.028798,1.154846
2.208178-1.028798,1.179379
2.215964-1.028798,1.187165
2.225807-1.028798,1.197008
2.226541-1.028798,1.197743
2.277959-1.028798,1.249161
2.312923-1.028798,1.284125
2.316890-1.028798,1.288091
2.381089-1.028798,1.352290
2.416200-1.028798,1.387401
2.442496-1.028798,1.413698
2.447197-1.028798,1.418399
2.473934-1.028798,1.445136
2.494061-1.028798,1.465263
1.039670-1.035850,0.003820
1.043636-1.035850,0.007786
1.044958-1.035850,0.009108
1.052744-1.035850,0.016894
1.054948-1.035850,0.019098
1.056858-1.035850,0.021008
1.057739-1.035850,0.021889
1.061118-1.035850,0.025268
1.061559-1.035850,0.025709
1.063615-1.035850,0.027766
1.072136-1.035850,0.036286
1.074928-1.035850,0.039078
1.077278-1.035850,0.041428
1.078306-1.035850,0.042456
1.083742-1.035850,0.047892
1.085211-1.035850,0.049361
1.086239-1.035850,0.050389
1.090353-1.035850,0.054503
1.096523-1.035850,0.060673
1.098873-1.035850,0.063024
1.104456-1.035850,0.068606
1.112242-1.035850,0.076392
1.115033-1.035850,0.079183
1.119000-1.035850,0.083150
1.120763-1.035850,0.084913
1.121204-1.035850,0.085354
1.121644-1.035850,0.085794
1.126051-1.035850,0.090202
1.131487-1.035850,0.095637
1.131781-1.035850,0.095931
1.136335-1.035850,0.100485
1.141183-1.035850,0.105333
1.143093-1.035850,0.107243
1.147500-1.035850,0.111650
1.157049-1.035850,0.121199
1.167920-1.035850,0.132070
1.171593-1.035850,0.135743
1.177616-1.035850,0.141766
1.178351-1.035850,0.142501
1.179085-1.035850,0.143235
1.190691-1.035850,0.154841
1.204647-1.035850,0.168797
1.206704-1.035850,0.170854
1.208320-1.035850,0.172470
1.214490-1.035850,0.178640
1.218751-1.035850,0.182901
1.219926-1.035850,0.184076
1.220660-1.035850,0.184810
1.221542-1.035850,0.185692
1.228006-1.035850,0.192156
1.228300-1.035850,0.192450
1.241521-1.035850,0.205671
1.245341-1.035850,0.209491
1.249454-1.035850,0.213604
1.255184-1.035850,0.219334
1.255918-1.035850,0.220069
1.256212-1.035850,0.220362
1.256653-1.035850,0.220803
1.257241-1.035850,0.221391
1.258416-1.035850,0.222566
1.260032-1.035850,0.224182
1.260620-1.035850,0.224770
1.260913-1.035850,0.225063
1.261795-1.035850,0.225945
1.263558-1.035850,0.227708
1.265027-1.035850,0.229177
1.267671-1.035850,0.231821
1.273400-1.035850,0.237551
1.273988-1.035850,0.238138
1.274282-1.035850,0.238432
1.277955-1.035850,0.242105
1.278395-1.035850,0.242545
1.285153-1.035850,0.249303
1.293380-1.035850,0.257530
1.294115-1.035850,0.258265
1.294555-1.035850,0.258705
1.295731-1.035850,0.259881
1.302341-1.035850,0.266491
1.302782-1.035850,0.266932
1.309834-1.035850,0.273984
1.311303-1.035850,0.275453
1.312037-1.035850,0.276187
1.319236-1.035850,0.283386
1.326875-1.035850,0.291025
1.328344-1.035850,0.292494
1.328638-1.035850,0.292788
1.335836-1.035850,0.299987
1.336424-1.035850,0.300574
1.338922-1.035850,0.303072
1.339362-1.035850,0.303512
1.340097-1.035850,0.304247
1.341860-1.035850,0.306010
1.349352-1.035850,0.313502
1.349793-1.035850,0.313943
1.354053-1.035850,0.318203
1.376236-1.035850,0.340386
1.377705-1.035850,0.341855
1.381672-1.035850,0.345822
1.385785-1.035850,0.349935
1.386226-1.035850,0.350376
1.386667-1.035850,0.350817
1.386961-1.035850,0.351111
1.388283-1.035850,0.352433
1.389605-1.035850,0.353755
1.400770-1.035850,0.364920
1.411200-1.035850,0.375350
1.415608-1.035850,0.379758
1.416783-1.035850,0.380933
1.421778-1.035850,0.385928
1.422659-1.035850,0.386809
1.423247-1.035850,0.387397
1.423541-1.035850,0.387691
1.442198-1.035850,0.406348
1.467907-1.035850,0.432057
1.468495-1.035850,0.432645
1.469523-1.035850,0.433673
1.476134-1.035850,0.440284
1.477897-1.035850,0.442047
1.483626-1.035850,0.447776
1.491853-1.035850,0.456003
1.493469-1.035850,0.457619
1.496848-1.035850,0.460998
1.499639-1.035850,0.463789
1.500961-1.035850,0.465111
1.504046-1.035850,0.468196
1.504487-1.035850,0.468637
1.504781-1.035850,0.468931
1.505369-1.035850,0.469519
1.510951-1.035850,0.475101
1.513449-1.035850,0.477599
1.543271-1.035850,0.507421
1.545915-1.035850,0.510065
1.547091-1.035850,0.511241
1.547972-1.035850,0.512122
1.548853-1.035850,0.513003
1.550029-1.035850,0.514179
1.550469-1.035850,0.514619
1.551645-1.035850,0.515795
1.552232-1.035850,0.516382
1.552526-1.035850,0.516676
1.553114-1.035850,0.517264
1.564866-1.035850,0.529016
1.577500-1.035850,0.541651
1.578235-1.035850,0.542385
1.588078-1.035850,0.552228
1.588959-1.035850,0.553109
1.589400-1.035850,0.553550
1.589841-1.035850,0.553991
1.590281-1.035850,0.554432
1.590575-1.035850,0.554725
1.592044-1.035850,0.556194
1.593660-1.035850,0.557810
1.599684-1.035850,0.563834
1.603209-1.035850,0.567360
1.603944-1.035850,0.568094
1.611143-1.035850,0.575293
1.613346-1.035850,0.577496
1.623630-1.035850,0.587780
1.630681-1.035850,0.594831
1.631269-1.035850,0.595419
1.631857-1.035850,0.596007
1.632885-1.035850,0.597035
1.633472-1.035850,0.597623
1.634648-1.035850,0.598798
1.636411-1.035850,0.600561
1.636851-1.035850,0.601001
1.637145-1.035850,0.601295
1.637586-1.035850,0.601736
1.638467-1.035850,0.602617
1.640818-1.035850,0.604968
1.652717-1.035850,0.616868
1.664764-1.035850,0.628914
1.667261-1.035850,0.631412
1.672550-1.035850,0.636700
1.672991-1.035850,0.637141
1.673285-1.035850,0.637435
1.673725-1.035850,0.637875
1.674313-1.035850,0.638463
1.674754-1.035850,0.638904
1.675048-1.035850,0.639198
1.677251-1.035850,0.641401
1.678427-1.035850,0.642577
1.689738-1.035850,0.653888
1.694586-1.035850,0.658736
1.700610-1.035850,0.664760
1.707514-1.035850,0.671664
1.716770-1.035850,0.680920
1.717063-1.035850,0.681213
1.717504-1.035850,0.681654
1.717798-1.035850,0.681948
1.718385-1.035850,0.682536
1.720589-1.035850,0.684739
1.721617-1.035850,0.685768
1.722205-1.035850,0.686355
1.722646-1.035850,0.686796
1.724115-1.035850,0.688265
1.744829-1.035850,0.708979
1.751587-1.035850,0.715737
1.756729-1.035850,0.720879
1.757022-1.035850,0.721172
1.757463-1.035850,0.721613
1.757757-1.035850,0.721907
1.758051-1.035850,0.722201
1.758491-1.035850,0.722641
1.759079-1.035850,0.723229
1.759667-1.035850,0.723817
1.759961-1.035850,0.724111
1.760401-1.035850,0.724551
1.799626-1.035850,0.763776
1.800213-1.035850,0.764363
1.800654-1.035850,0.764804
1.800948-1.035850,0.765098
1.801389-1.035850,0.765539
1.801682-1.035850,0.765833
1.802123-1.035850,0.766273
1.802564-1.035850,0.766714
1.804180-1.035850,0.768330
1.804621-1.035850,0.768771
1.805208-1.035850,0.769358
1.805502-1.035850,0.769652
1.805796-1.035850,0.769946
1.806090-1.035850,0.770240
1.806530-1.035850,0.770680
1.809469-1.035850,0.773619
1.834296-1.035850,0.798446
1.838997-1.035850,0.803147
1.841641-1.035850,0.805792
1.842523-1.035850,0.806673
1.842964-1.035850,0.807114
1.843257-1.035850,0.807408
1.844139-1.035850,0.808289
1.845167-1.035850,0.809317
1.856773-1.035850,0.820923
1.885126-1.035850,0.849276
1.885420-1.035850,0.849570
1.885714-1.035850,0.849864
1.886008-1.035850,0.850158
1.887036-1.035850,0.851186
1.888946-1.035850,0.853096
1.889681-1.035850,0.853831
1.889974-1.035850,0.854124
1.890268-1.035850,0.854418
1.891003-1.035850,0.855153
1.921853-1.035850,0.886003
1.925526-1.035850,0.889676
1.927436-1.035850,0.891586
1.927877-1.035850,0.892027
1.928758-1.035850,0.892908
1.929052-1.035850,0.893202
1.938748-1.035850,0.902898
1.947269-1.035850,0.911419
1.969599-1.035850,0.933749
1.971949-1.035850,0.936099
1.972684-1.035850,0.936834
1.973859-1.035850,0.938009
1.974593-1.035850,0.938743
1.988403-1.035850,0.952553
1.988697-1.035850,0.952847
2.003828-1.035850,0.967978
2.011174-1.035850,0.975324
2.011614-1.035850,0.975764
2.012349-1.035850,0.976499
2.013230-1.035850,0.977380
2.015581-1.035850,0.979731
2.049663-1.035850,1.013814
2.056274-1.035850,1.020424
2.060388-1.035850,1.024538
2.061122-1.035850,1.025272
2.091239-1.035850,1.055389
2.095499-1.035850,1.059649
2.098584-1.035850,1.062734
2.103432-1.035850,1.067582
2.114009-1.035850,1.078159
2.136046-1.035850,1.100196
2.168806-1.035850,1.132956
2.173801-1.035850,1.137951
2.183644-1.035850,1.147794
2.208178-1.035850,1.172328
2.215964-1.035850,1.180114
2.225807-1.035850,1.189957
2.226541-1.035850,1.190691
2.277959-1.035850,1.242109
2.312923-1.035850,1.277073
2.316890-1.035850,1.281040
2.381089-1.035850,1.345239
2.416200-1.035850,1.380350
2.442496-1.035850,1.406646
2.447197-1.035850,1.411347
2.473934-1.035850,1.438085
2.494061-1.035850,1.458211
1.043636-1.039670,0.003966
1.044958-1.039670,0.005289
1.052744-1.039670,0.013075
1.054948-1.039670,0.015278
1.056858-1.039670,0.017188
1.057739-1.039670,0.018070
1.061118-1.039670,0.021449
1.061559-1.039670,0.021889
1.063615-1.039670,0.023946
1.072136-1.039670,0.032467
1.074928-1.039670,0.035258
1.077278-1.039670,0.037609
1.078306-1.039670,0.038637
1.083742-1.039670,0.044072
1.085211-1.039670,0.045541
1.086239-1.039670,0.046570
1.090353-1.039670,0.050683
1.096523-1.039670,0.056854
1.098873-1.039670,0.059204
1.104456-1.039670,0.064786
1.112242-1.039670,0.072573
1.115033-1.039670,0.075364
1.119000-1.039670,0.079330
1.120763-1.039670,0.081093
1.121204-1.039670,0.081534
1.121644-1.039670,0.081975
1.126051-1.039670,0.086382
1.131487-1.039670,0.091818
1.131781-1.039670,0.092112
1.136335-1.039670,0.096666
1.141183-1.039670,0.101514
1.143093-1.039670,0.103423
1.147500-1.039670,0.107831
1.157049-1.039670,0.117380
1.167920-1.039670,0.128251
1.171593-1.039670,0.131924
1.177616-1.039670,0.137947
1.178351-1.039670,0.138681
1.179085-1.039670,0.139416
1.190691-1.039670,0.151022
1.204647-1.039670,0.164978
1.206704-1.039670,0.167035
1.208320-1.039670,0.168651
1.214490-1.039670,0.174821
1.218751-1.039670,0.179081
1.219926-1.039670,0.180256
1.220660-1.039670,0.180991
1.221542-1.039670,0.181872
1.228006-1.039670,0.188336
1.228300-1.039670,0.188630
1.241521-1.039670,0.201852
1.245341-1.039670,0.205672
1.249454-1.039670,0.209785
1.255184-1.039670,0.215514
1.255918-1.039670,0.216249
1.256212-1.039670,0.216543
1.256653-1.039670,0.216983
1.257241-1.039670,0.217571
1.258416-1.039670,0.218746
1.260032-1.039670,0.220362
1.260620-1.039670,0.220950
1.260913-1.039670,0.221244
1.261795-1.039670,0.222125
1.263558-1.039670,0.223888
1.265027-1.039670,0.225357
1.267671-1.039670,0.228002
1.273400-1.039670,0.233731
1.273988-1.039670,0.234319
1.274282-1.039670,0.234612
1.277955-1.039670,0.238285
1.278395-1.039670,0.238726
1.285153-1.039670,0.245484
1.293380-1.039670,0.253710
1.294115-1.039670,0.254445
1.294555-1.039670,0.254886
1.295731-1.039670,0.256061
1.302341-1.039670,0.262672
1.302782-1.039670,0.263113
1.309834-1.039670,0.270164
1.311303-1.039670,0.271633
1.312037-1.039670,0.272368
1.319236-1.039670,0.279566
1.326875-1.039670,0.287206
1.328344-1.039670,0.288675
1.328638-1.039670,0.288968
1.335836-1.039670,0.296167
1.336424-1.039670,0.296755
1.338922-1.039670,0.299252
1.339362-1.039670,0.299693
1.340097-1.039670,0.300427
1.341860-1.039670,0.302190
1.349352-1.039670,0.309683
1.349793-1.039670,0.310123
1.354053-1.039670,0.314384
1.376236-1.039670,0.336567
1.377705-1.039670,0.338036
1.381672-1.039670,0.342002
1.385785-1.039670,0.346116
1.386226-1.039670,0.346556
1.386667-1.039670,0.346997
1.386961-1.039670,0.347291
1.388283-1.039670,0.348613
1.389605-1.039670,0.349935
1.400770-1.039670,0.361100
1.411200-1.039670,0.371531
1.415608-1.039670,0.375938
1.416783-1.039670,0.377113
1.421778-1.039670,0.382108
1.422659-1.039670,0.382990
1.423247-1.039670,0.383577
1.423541-1.039670,0.383871
1.442198-1.039670,0.402529
1.467907-1.039670,0.428238
1.468495-1.039670,0.428825
1.469523-1.039670,0.429853
1.476134-1.039670,0.436464
1.477897-1.039670,0.438227
1.483626-1.039670,0.443957
1.491853-1.039670,0.452184
1.493469-1.039670,0.453800
1.496848-1.039670,0.457178
1.499639-1.039670,0.459970
1.500961-1.039670,0.461292
1.504046-1.039670,0.464377
1.504487-1.039670,0.464818
1.504781-1.039670,0.465111
1.505369-1.039670,0.465699
1.510951-1.039670,0.471282
1.513449-1.039670,0.473779
1.543271-1.039670,0.503601
1.545915-1.039670,0.506246
1.547091-1.039670,0.507421
1.547972-1.039670,0.508303
1.548853-1.039670,0.509184
1.550029-1.039670,0.510359
1.550469-1.039670,0.510800
1.551645-1.039670,0.511975
1.552232-1.039670,0.512563
1.552526-1.039670,0.512857
1.553114-1.039670,0.513444
1.564866-1.039670,0.525197
1.577500-1.039670,0.537831
1.578235-1.039670,0.538566
1.588078-1.039670,0.548408
1.588959-1.039670,0.549290
1.589400-1.039670,0.549731
1.589841-1.039670,0.550171
1.590281-1.039670,0.550612
1.590575-1.039670,0.550906
1.592044-1.039670,0.552375
1.593660-1.039670,0.553991
1.599684-1.039670,0.560014
1.603209-1.039670,0.563540
1.603944-1.039670,0.564275
1.611143-1.039670,0.571473
1.613346-1.039670,0.573677
1.623630-1.039670,0.583960
1.630681-1.039670,0.591012
1.631269-1.039670,0.591599
1.631857-1.039670,0.592187
1.632885-1.039670,0.593215
1.633472-1.039670,0.593803
1.634648-1.039670,0.594978
1.636411-1.039670,0.596741
1.636851-1.039670,0.597182
1.637145-1.039670,0.597476
1.637586-1.039670,0.597916
1.638467-1.039670,0.598798
1.640818-1.039670,0.601149
1.652717-1.039670,0.613048
1.664764-1.039670,0.625094
1.667261-1.039670,0.627592
1.672550-1.039670,0.632881
1.672991-1.039670,0.633321
1.673285-1.039670,0.633615
1.673725-1.039670,0.634056
1.674313-1.039670,0.634643
1.674754-1.039670,0.635084
1.675048-1.039670,0.635378
1.677251-1.039670,0.637582
1.678427-1.039670,0.638757
1.689738-1.039670,0.650069
1.694586-1.039670,0.654917
1.700610-1.039670,0.660940
1.707514-1.039670,0.667845
1.716770-1.039670,0.677100
1.717063-1.039670,0.677394
1.717504-1.039670,0.677834
1.717798-1.039670,0.678128
1.718385-1.039670,0.678716
1.720589-1.039670,0.680920
1.721617-1.039670,0.681948
1.722205-1.039670,0.682536
1.722646-1.039670,0.682976
1.724115-1.039670,0.684445
1.744829-1.039670,0.705159
1.751587-1.039670,0.711917
1.756729-1.039670,0.717059
1.757022-1.039670,0.717353
1.757463-1.039670,0.717794
1.757757-1.039670,0.718087
1.758051-1.039670,0.718381
1.758491-1.039670,0.718822
1.759079-1.039670,0.719410
1.759667-1.039670,0.719997
1.759961-1.039670,0.720291
1.760401-1.039670,0.720732
1.799626-1.039670,0.759956
1.800213-1.039670,0.760544
1.800654-1.039670,0.760985
1.800948-1.039670,0.761278
1.801389-1.039670,0.761719
1.801682-1.039670,0.762013
1.802123-1.039670,0.762454
1.802564-1.039670,0.762894
1.804180-1.039670,0.764510
1.804621-1.039670,0.764951
1.805208-1.039670,0.765539
1.805502-1.039670,0.765833
1.805796-1.039670,0.766126
1.806090-1.039670,0.766420
1.806530-1.039670,0.766861
1.809469-1.039670,0.769799
1.834296-1.039670,0.794627
1.838997-1.039670,0.799328
1.841641-1.039670,0.801972
1.842523-1.039670,0.802853
1.842964-1.039670,0.803294
1.843257-1.039670,0.803588
1.844139-1.039670,0.804469
1.845167-1.039670,0.805498
1.856773-1.039670,0.817103
1.885126-1.039670,0.845457
1.885420-1.039670,0.845751
1.885714-1.039670,0.846044
1.886008-1.039670,0.846338
1.887036-1.039670,0.847367
1.888946-1.039670,0.849276
1.889681-1.039670,0.850011
1.889974-1.039670,0.850305
1.890268-1.039670,0.850599
1.891003-1.039670,0.851333
1.921853-1.039670,0.882184
1.925526-1.039670,0.885857
1.927436-1.039670,0.887766
1.927877-1.039670,0.888207
1.928758-1.039670,0.889089
1.929052-1.039670,0.889382
1.938748-1.039670,0.899078
1.947269-1.039670,0.907599
1.969599-1.039670,0.929929
1.971949-1.039670,0.932280
1.972684-1.039670,0.933014
1.973859-1.039670,0.934189
1.974593-1.039670,0.934924
1.988403-1.039670,0.948733
1.988697-1.039670,0.949027
2.003828-1.039670,0.964159
2.011174-1.039670,0.971504
2.011614-1.039670,0.971945
2.012349-1.039670,0.972679
2.013230-1.039670,0.973561
2.015581-1.039670,0.975911
2.049663-1.039670,1.009994
2.056274-1.039670,1.016605
2.060388-1.039670,1.020718
2.061122-1.039670,1.021453
2.091239-1.039670,1.051569
2.095499-1.039670,1.055829
2.098584-1.039670,1.058915
2.103432-1.039670,1.063762
2.114009-1.039670,1.074340
2.136046-1.039670,1.096376
2.168806-1.039670,1.129137
2.173801-1.039670,1.134132
2.183644-1.039670,1.143974
2.208178-1.039670,1.168508
2.215964-1.039670,1.176294
2.225807-1.039670,1.186137
2.226541-1.039670,1.186871
2.277959-1.039670,1.238289
2.312923-1.039670,1.273254
2.316890-1.039670,1.277220
2.381089-1.039670,1.341419
2.416200-1.039670,1.376530
2.442496-1.039670,1.402827
2.447197-1.039670,1.407528
2.473934-1.039670,1.434265
2.494061-1.039670,1.454391
1.044958-1.043636,0.001322
1.052744-1.043636,0.009108
1.054948-1.043636,0.011312
1.056858-1.043636,0.013222
1.057739-1.043636,0.014103
1.061118-1.043636,0.017482
1.061559-1.043636,0.017923
1.063615-1.043636,0.019979
1.072136-1.043636,0.028500
1.074928-1.043636,0.031292
1.077278-1.043636,0.033642
1.078306-1.043636,0.034670
1.083742-1.043636,0.040106
1.085211-1.043636,0.041575
1.086239-1.043636,0.042603
1.090353-1.043636,0.046717
1.096523-1.043636,0.052887
1.098873-1.043636,0.055237
1.104456-1.043636,0.060820
1.112242-1.043636,0.068606
1.115033-1.043636,0.071397
1.119000-1.043636,0.075364
1.120763-1.043636,0.077127
1.121204-1.043636,0.077568
1.121644-1.043636,0.078008
1.126051-1.043636,0.082415
1.131487-1.043636,0.087851
1.131781-1.043636,0.088145
1.136335-1.043636,0.092699
1.141183-1.043636,0.097547
1.143093-1.043636,0.099457
1.147500-1.043636,0.103864
1.157049-1.043636,0.113413
1.167920-1.043636,0.124284
1.171593-1.043636,0.127957
1.177616-1.043636,0.133980
1.178351-1.043636,0.134715
1.179085-1.043636,0.135449
1.190691-1.043636,0.147055
1.204647-1.043636,0.161011
1.206704-1.043636,0.163068
1.208320-1.043636,0.164684
1.214490-1.043636,0.170854
1.218751-1.043636,0.175115
1.219926-1.043636,0.176290
1.220660-1.043636,0.177024
1.221542-1.043636,0.177906
1.228006-1.043636,0.184370
1.228300-1.043636,0.184664
1.241521-1.043636,0.197885
1.245341-1.043636,0.201705
1.249454-1.043636,0.205818
1.255184-1.043636,0.211548
1.255918-1.043636,0.212282
1.256212-1.043636,0.212576
1.256653-1.043636,0.213017
1.257241-1.043636,0.213605
1.258416-1.043636,0.214780
1.260032-1.043636,0.216396
1.260620-1.043636,0.216983
1.260913-1.043636,0.217277
1.261795-1.043636,0.218159
1.263558-1.043636,0.219922
1.265027-1.043636,0.221391
1.267671-1.043636,0.224035
1.273400-1.043636,0.229764
1.273988-1.043636,0.230352
1.274282-1.043636,0.230646
1.277955-1.043636,0.234319
1.278395-1.043636,0.234759
1.285153-1.043636,0.241517
1.293380-1.043636,0.249744
1.294115-1.043636,0.250479
1.294555-1.043636,0.250919
1.295731-1.043636,0.252095
1.302341-1.043636,0.258705
1.302782-1.043636,0.259146
1.309834-1.043636,0.266198
1.311303-1.043636,0.267667
1.312037-1.043636,0.268401
1.319236-1.043636,0.275600
1.326875-1.043636,0.283239
1.328344-1.043636,0.284708
1.328638-1.043636,0.285002
1.335836-1.043636,0.292200
1.336424-1.043636,0.292788
1.338922-1.043636,0.295286
1.339362-1.043636,0.295726
1.340097-1.043636,0.296461
1.341860-1.043636,0.298224
1.349352-1.043636,0.305716
1.349793-1.043636,0.306157
1.354053-1.043636,0.310417
1.376236-1.043636,0.332600
1.377705-1.043636,0.334069
1.381672-1.043636,0.338036
1.385785-1.043636,0.342149
1.386226-1.043636,0.342590
1.386667-1.043636,0.343031
1.386961-1.043636,0.343325
1.388283-1.043636,0.344647
1.389605-1.043636,0.345969
1.400770-1.043636,0.357134
1.411200-1.043636,0.367564
1.415608-1.043636,0.371972
1.416783-1.043636,0.373147
1.421778-1.043636,0.378142
1.422659-1.043636,0.379023
1.423247-1.043636,0.379611
1.423541-1.043636,0.379905
1.442198-1.043636,0.398562
1.467907-1.043636,0.424271
1.468495-1.043636,0.424859
1.469523-1.043636,0.425887
1.476134-1.043636,0.432498
1.477897-1.043636,0.434261
1.483626-1.043636,0.439990
1.491853-1.043636,0.448217
1.493469-1.043636,0.449833
1.496848-1.043636,0.453212
1.499639-1.043636,0.456003
1.500961-1.043636,0.457325
1.504046-1.043636,0.460410
1.504487-1.043636,0.460851
1.504781-1.043636,0.461145
1.505369-1.043636,0.461733
1.510951-1.043636,0.467315
1.513449-1.043636,0.469813
1.543271-1.043636,0.499635
1.545915-1.043636,0.502279
1.547091-1.043636,0.503455
1.547972-1.043636,0.504336
1.548853-1.043636,0.505217
1.550029-1.043636,0.506393
1.550469-1.043636,0.506833
1.551645-1.043636,0.508009
1.552232-1.043636,0.508596
1.552526-1.043636,0.508890
1.553114-1.043636,0.509478
1.564866-1.043636,0.521230
1.577500-1.043636,0.533864
1.578235-1.043636,0.534599
1.588078-1.043636,0.544442
1.588959-1.043636,0.545323
1.589400-1.043636,0.545764
1.589841-1.043636,0.546205
1.590281-1.043636,0.546645
1.590575-1.043636,0.546939
1.592044-1.043636,0.548408
1.593660-1.043636,0.550024
1.599684-1.043636,0.556048
1.603209-1.043636,0.559573
1.603944-1.043636,0.560308
1.611143-1.043636,0.567507
1.613346-1.043636,0.569710
1.623630-1.043636,0.579994
1.630681-1.043636,0.587045
1.631269-1.043636,0.587633
1.631857-1.043636,0.588221
1.632885-1.043636,0.589249
1.633472-1.043636,0.589836
1.634648-1.043636,0.591012
1.636411-1.043636,0.592775
1.636851-1.043636,0.593215
1.637145-1.043636,0.593509
1.637586-1.043636,0.593950
1.638467-1.043636,0.594831
1.640818-1.043636,0.597182
1.652717-1.043636,0.609081
1.664764-1.043636,0.621128
1.667261-1.043636,0.623625
1.672550-1.043636,0.628914
1.672991-1.043636,0.629355
1.673285-1.043636,0.629649
1.673725-1.043636,0.630089
1.674313-1.043636,0.630677
1.674754-1.043636,0.631118
1.675048-1.043636,0.631412
1.677251-1.043636,0.633615
1.678427-1.043636,0.634791
1.689738-1.043636,0.646102
1.694586-1.043636,0.650950
1.700610-1.043636,0.656974
1.707514-1.043636,0.663878
1.716770-1.043636,0.673134
1.717063-1.043636,0.673427
1.717504-1.043636,0.673868
1.717798-1.043636,0.674162
1.718385-1.043636,0.674749
1.720589-1.043636,0.676953
1.721617-1.043636,0.677981
1.722205-1.043636,0.678569
1.722646-1.043636,0.679010
1.724115-1.043636,0.680479
1.744829-1.043636,0.701193
1.751587-1.043636,0.707951
1.756729-1.043636,0.713093
1.757022-1.043636,0.713386
1.757463-1.043636,0.713827
1.757757-1.043636,0.714121
1.758051-1.043636,0.714415
1.758491-1.043636,0.714855
1.759079-1.043636,0.715443
1.759667-1.043636,0.716031
1.759961-1.043636,0.716325
1.760401-1.043636,0.716765
1.799626-1.043636,0.755990
1.800213-1.043636,0.756577
1.800654-1.043636,0.757018
1.800948-1.043636,0.757312
1.801389-1.043636,0.757753
1.801682-1.043636,0.758046
1.802123-1.043636,0.758487
1.802564-1.043636,0.758928
1.804180-1.043636,0.760544
1.804621-1.043636,0.760985
1.805208-1.043636,0.761572
1.805502-1.043636,0.761866
1.805796-1.043636,0.762160
1.806090-1.043636,0.762454
1.806530-1.043636,0.762894
1.809469-1.043636,0.765833
1.834296-1.043636,0.790660
1.838997-1.043636,0.795361
1.841641-1.043636,0.798005
1.842523-1.043636,0.798887
1.842964-1.043636,0.799328
1.843257-1.043636,0.799621
1.844139-1.043636,0.800503
1.845167-1.043636,0.801531
1.856773-1.043636,0.813137
1.885126-1.043636,0.841490
1.885420-1.043636,0.841784
1.885714-1.043636,0.842078
1.886008-1.043636,0.842372
1.887036-1.043636,0.843400
1.888946-1.043636,0.845310
1.889681-1.043636,0.846045
1.889974-1.043636,0.846338
1.890268-1.043636,0.846632
1.891003-1.043636,0.847367
1.921853-1.043636,0.878217
1.925526-1.043636,0.881890
1.927436-1.043636,0.883800
1.927877-1.043636,0.884241
1.928758-1.043636,0.885122
1.929052-1.043636,0.885416
1.938748-1.043636,0.895112
1.947269-1.043636,0.903633
1.969599-1.043636,0.925963
1.971949-1.043636,0.928313
1.972684-1.043636,0.929048
1.973859-1.043636,0.930223
1.974593-1.043636,0.930957
1.988403-1.043636,0.944767
1.988697-1.043636,0.945061
2.003828-1.043636,0.960192
2.011174-1.043636,0.967538
2.011614-1.043636,0.967978
2.012349-1.043636,0.968713
2.013230-1.043636,0.969594
2.015581-1.043636,0.971945
2.049663-1.043636,1.006027
2.056274-1.043636,1.012638
2.060388-1.043636,1.016752
2.061122-1.043636,1.017486
2.091239-1.043636,1.047603
2.095499-1.043636,1.051863
2.098584-1.043636,1.054948
2.103432-1.043636,1.059796
2.114009-1.043636,1.070373
2.136046-1.043636,1.092410
2.168806-1.043636,1.125170
2.173801-1.043636,1.130165
2.183644-1.043636,1.140008
2.208178-1.043636,1.164542
2.215964-1.043636,1.172328
2.225807-1.043636,1.182171
2.226541-1.043636,1.182905
2.277959-1.043636,1.234323
2.312923-1.043636,1.269287
2.316890-1.043636,1.273254
2.381089-1.043636,1.337453
2.416200-1.043636,1.372564
2.442496-1.043636,1.398860
2.447197-1.043636,1.403561
2.473934-1.043636,1.430298
2.494061-1.043636,1.450425
1.052744-1.044958,0.007786
1.054948-1.044958,0.009990
1.056858-1.044958,0.011900
1.057739-1.044958,0.012781
1.061118-1.044958,0.016160
1.061559-1.044958,0.016601
1.063615-1.044958,0.018657
1.072136-1.044958,0.027178
1.074928-1.044958,0.029969
1.077278-1.044958,0.032320
1.078306-1.044958,0.033348
1.083742-1.044958,0.038784
