Index,Frequency (mHz),Amplitude (dB),Distance from central (samples)
10742,1.57823500,5.23833020,1224
10809,1.58807790,6.44591420,1157
10815,1.58895930,14.79251100,1151
10818,1.58940010,35.91787800,1148
10821,1.58984080,41.33977900,1145
10824,1.59028150,9.42904240,1142
10826,1.59057530,9.84276910,1140
10836,1.59204440,11.51228200,1130
10847,1.59366040,5.42125020,1119
10888,1.59968360,5.31390260,1078
10912,1.60320940,5.13869130,1054
10917,1.60394400,5.12283090,1049
10966,1.61114250,5.38242650,1000
10981,1.61334610,10.90913400,985
11051,1.62362970,5.30197050,915
11099,1.63068130,8.09638020,867
11103,1.63126890,9.76711500,863
11107,1.63185660,15.64133200,859
11114,1.63288490,5.34446980,852
11118,1.63347250,6.97638180,848
11126,1.63464780,6.01775860,840
11138,1.63641070,6.83060450,828
11141,1.63685140,71.02062400,825
11143,1.63714520,32.49335400,823
11146,1.63758600,7.77202420,820
11152,1.63846740,5.81075900,814
11168,1.64081800,5.23801810,798
11249,1.65271750,5.65676410,717
11331,1.66476400,7.19429120,635
11348,1.66726140,8.15677710,618
11384,1.67255010,5.58975910,582
11387,1.67299090,7.66769230,579
11389,1.67328470,26.21898400,577
11392,1.67372540,18.83906400,574
11396,1.67431300,49.34595900,570
11399,1.67475380,10.90563300,567
11401,1.67504760,18.77506400,565
11416,1.67725120,5.93430430,550
11424,1.67842650,6.01851680,542
11501,1.68973840,8.69561970,465
11534,1.69458640,8.27616760,432
11575,1.70060960,5.13230660,391
11622,1.70751430,5.84505820,344
11685,1.71676950,24.75110400,281
11687,1.71706330,12.55911000,279
11690,1.71750400,6.28953390,276
11692,1.71779790,21.60085700,274
11696,1.71838550,10.96324000,270
11711,1.72058910,7.77563310,255
11718,1.72161750,38.23406800,248
11722,1.72220510,5.80152880,244
11725,1.72264580,7.50909300,241
11735,1.72411490,5.82611340,231
11876,1.74482900,6.19182700,90
11922,1.75158680,6.63369130,44
11957,1.75672850,7.26033310,9
11959,1.75702240,10.18657700,7
11962,1.75746310,5.24197110,4
11964,1.75775690,15.06455000,2
