Pair,Delta (microHz)
248.679070-150.004650,98.674420
251.002950-150.004650,100.998300
251.042340-150.004650,101.037690
251.065970-150.004650,101.061320
255.516790-150.004650,105.512140
255.556180-150.004650,105.551530
255.603450-150.004650,105.598800
255.627080-150.004650,105.622430
255.682220-150.004650,105.677570
255.705860-150.004650,105.701210
255.729490-150.004650,105.724840
255.761000-150.004650,105.756350
255.855530-150.004650,105.850880
255.887040-150.004650,105.882390
255.926430-150.004650,105.921780
255.942180-150.004650,105.937530
257.848550-150.004650,107.843900
257.872190-150.004650,107.867540
257.958840-150.004650,107.954190
257.974600-150.004650,107.969950
257.998230-150.004650,107.993580
258.037620-150.004650,108.032970
258.061250-150.004650,108.056600
258.092760-150.004650,108.088110
258.124270-150.004650,108.119620
258.140020-150.004650,108.135370
258.163660-150.004650,108.159010
258.179410-150.004650,108.174760
258.195170-150.004650,108.190520
258.376350-150.004650,108.371700
258.415740-150.004650,108.411090
258.455130-150.004650,108.450480
262.094560-150.004650,112.089910
263.536160-150.004650,113.531510
263.654320-150.004650,113.649670
263.693710-150.004650,113.689060
263.717340-150.004650,113.712690
263.740980-150.004650,113.736330
263.764610-150.004650,113.759960
263.835510-150.004650,113.830860
263.851260-150.004650,113.846610
263.898530-150.004650,113.893880
263.961550-150.004650,113.956900
264.103340-150.004650,114.098690
265.426780-150.004650,115.422130
265.450410-150.004650,115.445760
265.474040-150.004650,115.469390
265.513430-150.004650,115.508780
265.537060-150.004650,115.532410
265.568570-150.004650,115.563920
265.592200-150.004650,115.587550
265.623710-150.004650,115.619060
265.639470-150.004650,115.634820
265.670980-150.004650,115.666330
265.718250-150.004650,115.713600
265.734000-150.004650,115.729350
265.773390-150.004650,115.768740
265.789140-150.004650,115.784490
266.017590-150.004650,116.012940
267.719150-150.004650,117.714500
268.042130-150.004650,118.037480
268.223310-150.004650,118.218660
268.246940-150.004650,118.242290
268.278450-150.004650,118.273800
268.294210-150.004650,118.289560
268.648700-150.004650,118.644050
273.327980-150.004650,123.323330
273.343730-150.004650,123.339080
273.391000-150.004650,123.386350
273.414630-150.004650,123.409980
273.438260-150.004650,123.433610
273.461890-150.004650,123.457240
273.477650-150.004650,123.473000
273.493400-150.004650,123.488750
275.809410-150.004650,125.804760
275.856680-150.004650,125.852030
275.872430-150.004650,125.867780
275.911820-150.004650,125.907170
275.998470-150.004650,125.993820
276.242680-150.004650,126.238030
279.070720-150.004650,129.066070
280.110560-150.004650,130.105910
281.205540-150.004650,131.200890
281.528520-150.004650,131.523870
281.575790-150.004650,131.571140
283.151300-150.004650,133.146650
283.167060-150.004650,133.162410
151.564410-150.934200,0.630210
152.107960-150.934200,1.173760
152.486080-150.934200,1.551880
152.879960-150.934200,1.945760
153.147800-150.934200,2.213600
154.085230-150.934200,3.151030
154.636660-150.934200,3.702460
155.219600-150.934200,4.285400
159.914630-150.934200,8.980430
160.103690-150.934200,9.169490
162.955370-150.934200,12.021170
162.994760-150.934200,12.060560
165.389540-150.934200,14.455340
168.682360-150.934200,17.748160
170.832940-150.934200,19.898740
171.281960-150.934200,20.347760
171.597060-150.934200,20.662860
171.864900-150.934200,20.930700
171.888530-150.934200,20.954330
172.164250-150.934200,21.230050
176.370870-150.934200,25.436670
177.922750-150.934200,26.988550
179.931530-150.934200,28.997330
180.120590-150.934200,29.186390
180.152100-150.934200,29.217900
180.238760-150.934200,29.304560
186.800770-150.934200,35.866570
188.470810-150.934200,37.536610
188.557470-150.934200,37.623270
188.636240-150.934200,37.702040
190.487470-150.934200,39.553270
190.511100-150.934200,39.576900
195.103730-150.934200,44.169530
196.631970-150.934200,45.697770
196.758020-150.934200,45.823820
196.821040-150.934200,45.886840
196.836790-150.934200,45.902590
196.884060-150.934200,45.949860
202.941910-150.934200,52.007710
205.187010-150.934200,54.252810
205.202770-150.934200,54.268570
205.218520-150.934200,54.284320
205.242160-150.934200,54.307960
205.273670-150.934200,54.339470
205.352440-150.934200,54.418240
207.117020-150.934200,56.182820
207.321830-150.934200,56.387630
207.353340-150.934200,56.419140
207.416360-150.934200,56.482160
211.544210-150.934200,60.610010
211.575720-150.934200,60.641520
211.717520-150.934200,60.783320
211.843560-150.934200,60.909360
211.922330-150.934200,60.988130
212.142910-150.934200,61.208710
212.158660-150.934200,61.224460
213.009440-150.934200,62.075240
213.789320-150.934200,62.855120
213.828710-150.934200,62.894510
213.852340-150.934200,62.918140
213.868090-150.934200,62.933890
213.891730-150.934200,62.957530
213.923240-150.934200,62.989040
213.954750-150.934200,63.020550
213.970500-150.934200,63.036300
213.986260-150.934200,63.052060
214.002010-150.934200,63.067810
214.198950-150.934200,63.264750
216.325890-150.934200,65.391690
218.287410-150.934200,67.353210
218.303160-150.934200,67.368960
219.602960-150.934200,68.668760
221.509330-150.934200,70.575130
221.627500-150.934200,70.693300
221.651130-150.934200,70.716930
221.674760-150.934200,70.740560
221.698400-150.934200,70.764200
221.722030-150.934200,70.787830
221.737780-150.934200,70.803580
221.761420-150.934200,70.827220
221.792930-150.934200,70.858730
221.934720-150.934200,71.000520
222.013500-150.934200,71.079300
223.407830-150.934200,72.473630
223.431460-150.934200,72.497260
223.494480-150.934200,72.560280
223.518110-150.934200,72.583910
223.533870-150.934200,72.599670
223.557500-150.934200,72.623300
223.573260-150.934200,72.639060
223.596890-150.934200,72.662690
223.628400-150.934200,72.694200
223.675670-150.934200,72.741470
223.730810-150.934200,72.796610
223.746560-150.934200,72.812360
227.086650-150.934200,76.152450
227.110280-150.934200,76.176080
228.930000-150.934200,77.995800
228.961510-150.934200,78.027310
229.040290-150.934200,78.106090
229.079680-150.934200,78.145480
229.095430-150.934200,78.161230
229.126940-150.934200,78.192740
229.182090-150.934200,78.247890
229.205720-150.934200,78.271520
229.229350-150.934200,78.295150
229.245110-150.934200,78.310910
229.379020-150.934200,78.444820
231.025440-150.934200,80.091240
231.049070-150.934200,80.114870
231.080580-150.934200,80.146380
231.104210-150.934200,80.170010
231.119970-150.934200,80.185770
231.143600-150.934200,80.209400
231.182990-150.934200,80.248790
231.206620-150.934200,80.272420
231.222380-150.934200,80.288180
231.246010-150.934200,80.311810
231.269640-150.934200,80.335440
231.316910-150.934200,80.382710
231.332660-150.934200,80.398460
231.348420-150.934200,80.414220
231.372050-150.934200,80.437850
235.594430-150.934200,84.660230
235.775610-150.934200,84.841410
235.799240-150.934200,84.865040
236.019810-150.934200,85.085610
239.123580-150.934200,88.189380
239.139330-150.934200,88.205130
239.162960-150.934200,88.228760
239.194470-150.934200,88.260270
239.233860-150.934200,88.299660
239.257490-150.934200,88.323290
239.281130-150.934200,88.346930
239.304760-150.934200,88.370560
239.336270-150.934200,88.402070
239.359900-150.934200,88.425700
239.383540-150.934200,88.449340
239.430800-150.934200,88.496600
239.454430-150.934200,88.520230
239.470190-150.934200,88.535990
239.485940-150.934200,88.551740
239.509580-150.934200,88.575380
239.745900-150.934200,88.811700
241.345050-150.934200,90.410850
241.376560-150.934200,90.442360
241.400190-150.934200,90.465990
241.471090-150.934200,90.536890
241.486850-150.934200,90.552650
241.502600-150.934200,90.568400
241.518360-150.934200,90.584160
241.534110-150.934200,90.599910
241.565620-150.934200,90.631420
241.589250-150.934200,90.655050
241.620760-150.934200,90.686560
241.660150-150.934200,90.725950
241.731050-150.934200,90.796850
241.754680-150.934200,90.820480
241.770440-150.934200,90.836240
241.801950-150.934200,90.867750
241.935870-150.934200,91.001670
243.408970-150.934200,92.474770
245.433510-150.934200,94.499310
246.040080-150.934200,95.105880
246.071590-150.934200,95.137390
246.118860-150.934200,95.184660
246.158240-150.934200,95.224040
246.252770-150.934200,95.318570
246.268530-150.934200,95.334330
246.292160-150.934200,95.357960
246.331550-150.934200,95.397350
246.386690-150.934200,95.452490
246.418200-150.934200,95.484000
246.433960-150.934200,95.499760
246.489100-150.934200,95.554900
246.512730-150.934200,95.578530
246.544240-150.934200,95.610040
246.575760-150.934200,95.641560
246.591510-150.934200,95.657310
246.615140-150.934200,95.680940
246.638780-150.934200,95.704580
246.654530-150.934200,95.720330
246.693920-150.934200,95.759720
246.717550-150.934200,95.783350
246.741180-150.934200,95.806980
246.772690-150.934200,95.838490
246.804200-150.934200,95.870000
246.835710-150.934200,95.901510
246.851470-150.934200,95.917270
246.914490-150.934200,95.980290
247.891310-150.934200,96.957110
247.985840-150.934200,97.051640
248.009470-150.934200,97.075270
248.119760-150.934200,97.185560
248.159150-150.934200,97.224950
248.198530-150.934200,97.264330
248.245800-150.934200,97.311600
248.261550-150.934200,97.327350
248.277310-150.934200,97.343110
248.300940-150.934200,97.366740
248.316700-150.934200,97.382500
248.340330-150.934200,97.406130
248.363960-150.934200,97.429760
248.379720-150.934200,97.445520
248.403350-150.934200,97.469150
248.442740-150.934200,97.508540
248.466370-150.934200,97.532170
248.497880-150.934200,97.563680
248.521510-150.934200,97.587310
248.576660-150.934200,97.642460
248.592410-150.934200,97.658210
248.679070-150.934200,97.744870
251.002950-150.934200,100.068750
251.042340-150.934200,100.108140
251.065970-150.934200,100.131770
255.516790-150.934200,104.582590
255.556180-150.934200,104.621980
255.603450-150.934200,104.669250
255.627080-150.934200,104.692880
255.682220-150.934200,104.748020
255.705860-150.934200,104.771660
255.729490-150.934200,104.795290
255.761000-150.934200,104.826800
255.855530-150.934200,104.921330
255.887040-150.934200,104.952840
255.926430-150.934200,104.992230
255.942180-150.934200,105.007980
257.848550-150.934200,106.914350
257.872190-150.934200,106.937990
257.958840-150.934200,107.024640
257.974600-150.934200,107.040400
257.998230-150.934200,107.064030
258.037620-150.934200,107.103420
258.061250-150.934200,107.127050
258.092760-150.934200,107.158560
258.124270-150.934200,107.190070
258.140020-150.934200,107.205820
258.163660-150.934200,107.229460
258.179410-150.934200,107.245210
258.195170-150.934200,107.260970
258.376350-150.934200,107.442150
258.415740-150.934200,107.481540
258.455130-150.934200,107.520930
262.094560-150.934200,111.160360
263.536160-150.934200,112.601960
263.654320-150.934200,112.720120
263.693710-150.934200,112.759510
263.717340-150.934200,112.783140
263.740980-150.934200,112.806780
263.764610-150.934200,112.830410
263.835510-150.934200,112.901310
263.851260-150.934200,112.917060
263.898530-150.934200,112.964330
263.961550-150.934200,113.027350
264.103340-150.934200,113.169140
265.426780-150.934200,114.492580
265.450410-150.934200,114.516210
265.474040-150.934200,114.539840
265.513430-150.934200,114.579230
265.537060-150.934200,114.602860
265.568570-150.934200,114.634370
265.592200-150.934200,114.658000
265.623710-150.934200,114.689510
265.639470-150.934200,114.705270
265.670980-150.934200,114.736780
265.718250-150.934200,114.784050
265.734000-150.934200,114.799800
265.773390-150.934200,114.839190
265.789140-150.934200,114.854940
266.017590-150.934200,115.083390
267.719150-150.934200,116.784950
268.042130-150.934200,117.107930
268.223310-150.934200,117.289110
268.246940-150.934200,117.312740
268.278450-150.934200,117.344250
268.294210-150.934200,117.360010
268.648700-150.934200,117.714500
273.327980-150.934200,122.393780
273.343730-150.934200,122.409530
273.391000-150.934200,122.456800
273.414630-150.934200,122.480430
273.438260-150.934200,122.504060
273.461890-150.934200,122.527690
273.477650-150.934200,122.543450
273.493400-150.934200,122.559200
275.809410-150.934200,124.875210
275.856680-150.934200,124.922480
275.872430-150.934200,124.938230
275.911820-150.934200,124.977620
275.998470-150.934200,125.064270
276.242680-150.934200,125.308480
279.070720-150.934200,128.136520
280.110560-150.934200,129.176360
281.205540-150.934200,130.271340
281.528520-150.934200,130.594320
281.575790-150.934200,130.641590
283.151300-150.934200,132.217100
283.167060-150.934200,132.232860
152.107960-151.564410,0.543550
152.486080-151.564410,0.921670
152.879960-151.564410,1.315550
153.147800-151.564410,1.583390
154.085230-151.564410,2.520820
154.636660-151.564410,3.072250
155.219600-151.564410,3.655190
159.914630-151.564410,8.350220
160.103690-151.564410,8.539280
162.955370-151.564410,11.390960
162.994760-151.564410,11.430350
165.389540-151.564410,13.825130
168.682360-151.564410,17.117950
170.832940-151.564410,19.268530
171.281960-151.564410,19.717550
171.597060-151.564410,20.032650
171.864900-151.564410,20.300490
171.888530-151.564410,20.324120
172.164250-151.564410,20.599840
176.370870-151.564410,24.806460
177.922750-151.564410,26.358340
179.931530-151.564410,28.367120
180.120590-151.564410,28.556180
180.152100-151.564410,28.587690
180.238760-151.564410,28.674350
186.800770-151.564410,35.236360
188.470810-151.564410,36.906400
188.557470-151.564410,36.993060
188.636240-151.564410,37.071830
190.487470-151.564410,38.923060
190.511100-151.564410,38.946690
195.103730-151.564410,43.539320
196.631970-151.564410,45.067560
196.758020-151.564410,45.193610
196.821040-151.564410,45.256630
196.836790-151.564410,45.272380
196.884060-151.564410,45.319650
202.941910-151.564410,51.377500
205.187010-151.564410,53.622600
205.202770-151.564410,53.638360
205.218520-151.564410,53.654110
205.242160-151.564410,53.677750
205.273670-151.564410,53.709260
205.352440-151.564410,53.788030
207.117020-151.564410,55.552610
207.321830-151.564410,55.757420
207.353340-151.564410,55.788930
207.416360-151.564410,55.851950
211.544210-151.564410,59.979800
211.575720-151.564410,60.011310
211.717520-151.564410,60.153110
211.843560-151.564410,60.279150
211.922330-151.564410,60.357920
212.142910-151.564410,60.578500
212.158660-151.564410,60.594250
213.009440-151.564410,61.445030
213.789320-151.564410,62.224910
213.828710-151.564410,62.264300
213.852340-151.564410,62.287930
213.868090-151.564410,62.303680
213.891730-151.564410,62.327320
213.923240-151.564410,62.358830
213.954750-151.564410,62.390340
213.970500-151.564410,62.406090
213.986260-151.564410,62.421850
214.002010-151.564410,62.437600
214.198950-151.564410,62.634540
216.325890-151.564410,64.761480
218.287410-151.564410,66.723000
218.303160-151.564410,66.738750
219.602960-151.564410,68.038550
221.509330-151.564410,69.944920
221.627500-151.564410,70.063090
221.651130-151.564410,70.086720
221.674760-151.564410,70.110350
221.698400-151.564410,70.133990
221.722030-151.564410,70.157620
221.737780-151.564410,70.173370
221.761420-151.564410,70.197010
221.792930-151.564410,70.228520
221.934720-151.564410,70.370310
222.013500-151.564410,70.449090
223.407830-151.564410,71.843420
223.431460-151.564410,71.867050
223.494480-151.564410,71.930070
223.518110-151.564410,71.953700
223.533870-151.564410,71.969460
223.557500-151.564410,71.993090
223.573260-151.564410,72.008850
223.596890-151.564410,72.032480
223.628400-151.564410,72.063990
223.675670-151.564410,72.111260
223.730810-151.564410,72.166400
223.746560-151.564410,72.182150
227.086650-151.564410,75.522240
227.110280-151.564410,75.545870
228.930000-151.564410,77.365590
228.961510-151.564410,77.397100
229.040290-151.564410,77.475880
229.079680-151.564410,77.515270
229.095430-151.564410,77.531020
229.126940-151.564410,77.562530
229.182090-151.564410,77.617680
229.205720-151.564410,77.641310
229.229350-151.564410,77.664940
229.245110-151.564410,77.680700
229.379020-151.564410,77.814610
231.025440-151.564410,79.461030
231.049070-151.564410,79.484660
231.080580-151.564410,79.516170
231.104210-151.564410,79.539800
231.119970-151.564410,79.555560
231.143600-151.564410,79.579190
231.182990-151.564410,79.618580
231.206620-151.564410,79.642210
231.222380-151.564410,79.657970
231.246010-151.564410,79.681600
231.269640-151.564410,79.705230
231.316910-151.564410,79.752500
231.332660-151.564410,79.768250
231.348420-151.564410,79.784010
231.372050-151.564410,79.807640
235.594430-151.564410,84.030020
235.775610-151.564410,84.211200
235.799240-151.564410,84.234830
236.019810-151.564410,84.455400
239.123580-151.564410,87.559170
239.139330-151.564410,87.574920
239.162960-151.564410,87.598550
239.194470-151.564410,87.630060
239.233860-151.564410,87.669450
239.257490-151.564410,87.693080
239.281130-151.564410,87.716720
239.304760-151.564410,87.740350
239.336270-151.564410,87.771860
239.359900-151.564410,87.795490
239.383540-151.564410,87.819130
239.430800-151.564410,87.866390
239.454430-151.564410,87.890020
239.470190-151.564410,87.905780
239.485940-151.564410,87.921530
239.509580-151.564410,87.945170
239.745900-151.564410,88.181490
241.345050-151.564410,89.780640
241.376560-151.564410,89.812150
241.400190-151.564410,89.835780
241.471090-151.564410,89.906680
241.486850-151.564410,89.922440
241.502600-151.564410,89.938190
241.518360-151.564410,89.953950
241.534110-151.564410,89.969700
241.565620-151.564410,90.001210
241.589250-151.564410,90.024840
241.620760-151.564410,90.056350
241.660150-151.564410,90.095740
241.731050-151.564410,90.166640
241.754680-151.564410,90.190270
241.770440-151.564410,90.206030
241.801950-151.564410,90.237540
241.935870-151.564410,90.371460
243.408970-151.564410,91.844560
245.433510-151.564410,93.869100
246.040080-151.564410,94.475670
246.071590-151.564410,94.507180
246.118860-151.564410,94.554450
246.158240-151.564410,94.593830
246.252770-151.564410,94.688360
246.268530-151.564410,94.704120
246.292160-151.564410,94.727750
246.331550-151.564410,94.767140
246.386690-151.564410,94.822280
246.418200-151.564410,94.853790
246.433960-151.564410,94.869550
246.489100-151.564410,94.924690
246.512730-151.564410,94.948320
246.544240-151.564410,94.979830
246.575760-151.564410,95.011350
246.591510-151.564410,95.027100
246.615140-151.564410,95.050730
246.638780-151.564410,95.074370
246.654530-151.564410,95.090120
246.693920-151.564410,95.129510
246.717550-151.564410,95.153140
246.741180-151.564410,95.176770
246.772690-151.564410,95.208280
246.804200-151.564410,95.239790
246.835710-151.564410,95.271300
246.851470-151.564410,95.287060
246.914490-151.564410,95.350080
247.891310-151.564410,96.326900
247.985840-151.564410,96.421430
248.009470-151.564410,96.445060
248.119760-151.564410,96.555350
248.159150-151.564410,96.594740
248.198530-151.564410,96.634120
248.245800-151.564410,96.681390
248.261550-151.564410,96.697140
248.277310-151.564410,96.712900
248.300940-151.564410,96.736530
248.316700-151.564410,96.752290
248.340330-151.564410,96.775920
248.363960-151.564410,96.799550
248.379720-151.564410,96.815310
248.403350-151.564410,96.838940
248.442740-151.564410,96.878330
248.466370-151.564410,96.901960
248.497880-151.564410,96.933470
248.521510-151.564410,96.957100
248.576660-151.564410,97.012250
248.592410-151.564410,97.028000
248.679070-151.564410,97.114660
251.002950-151.564410,99.438540
251.042340-151.564410,99.477930
251.065970-151.564410,99.501560
255.516790-151.564410,103.952380
255.556180-151.564410,103.991770
255.603450-151.564410,104.039040
255.627080-151.564410,104.062670
255.682220-151.564410,104.117810
255.705860-151.564410,104.141450
255.729490-151.564410,104.165080
255.761000-151.564410,104.196590
255.855530-151.564410,104.291120
255.887040-151.564410,104.322630
255.926430-151.564410,104.362020
255.942180-151.564410,104.377770
257.848550-151.564410,106.284140
257.872190-151.564410,106.307780
257.958840-151.564410,106.394430
257.974600-151.564410,106.410190
257.998230-151.564410,106.433820
258.037620-151.564410,106.473210
258.061250-151.564410,106.496840
258.092760-151.564410,106.528350
258.124270-151.564410,106.559860
258.140020-151.564410,106.575610
258.163660-151.564410,106.599250
258.179410-151.564410,106.615000
258.195170-151.564410,106.630760
258.376350-151.564410,106.811940
258.415740-151.564410,106.851330
258.455130-151.564410,106.890720
262.094560-151.564410,110.530150
263.536160-151.564410,111.971750
263.654320-151.564410,112.089910
263.693710-151.564410,112.129300
263.717340-151.564410,112.152930
263.740980-151.564410,112.176570
263.764610-151.564410,112.200200
263.835510-151.564410,112.271100
263.851260-151.564410,112.286850
