Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
30400,239.48594000,625.44985000,264
30403,239.50958000,562.03462000,261
30433,239.74590000,255.30458000,231
30636,241.34505000,246.45675000,28
30640,241.37656000,702.40422000,24
30643,241.40019000,458.41181000,21
30652,241.47109000,462.27042000,12
30654,241.48685000,318.21716000,10
30656,241.50260000,503.04371000,8
30658,241.51836000,704.81072000,6
30660,241.53411000,432.52292000,4
30664,241.56562000,4453.71510000,0
30667,241.58925000,1055.63340000,3
30671,241.62076000,261.38581000,7
30676,241.66015000,245.24102000,12
30685,241.73105000,575.40656000,21
30688,241.75468000,868.23366000,24
30690,241.77044000,354.74253000,26
30694,241.80195000,342.37465000,30
30711,241.93587000,239.78395000,47
30898,243.40897000,262.83723000,234
31155,245.43351000,237.47358000,491
31232,246.04008000,505.26761000,568
31236,246.07159000,507.26905000,572
31242,246.11886000,342.87093000,578
31247,246.15824000,288.45483000,583
31259,246.25277000,519.23119000,595
31261,246.26853000,753.85647000,597
31264,246.29216000,373.65254000,600
31269,246.33155000,629.61039000,605
31276,246.38669000,406.92175000,612
31280,246.41820000,244.08010000,616
31282,246.43396000,361.16822000,618
31289,246.48910000,1373.26740000,625
31292,246.51273000,888.04092000,628
31296,246.54424000,510.34113000,632
31300,246.57576000,651.28216000,636
31302,246.59151000,667.68935000,638
31305,246.61514000,1083.91010000,641
31308,246.63878000,1055.97530000,644
31310,246.65453000,1320.95300000,646
31315,246.69392000,292.04102000,651
31318,246.71755000,320.99528000,654
31321,246.74118000,256.82323000,657
31325,246.77269000,249.48551000,661
31329,246.80420000,380.19444000,665
31333,246.83571000,255.84991000,669
31335,246.85147000,538.63219000,671
31343,246.91449000,383.99207000,679
31467,247.89131000,354.41807000,803
31479,247.98584000,305.27981000,815
31482,248.00947000,264.27310000,818
31496,248.11976000,235.95025000,832
31501,248.15915000,373.02328000,837
31506,248.19853000,466.82537000,842
31512,248.24580000,371.27939000,848
31514,248.26155000,485.97499000,850
31516,248.27731000,854.41824000,852
31519,248.30094000,1991.55260000,855
31521,248.31670000,1176.18580000,857
31524,248.34033000,3368.93050000,860
31527,248.36396000,605.06504000,863
31529,248.37972000,902.07746000,865
31532,248.40335000,417.31365000,868
31537,248.44274000,709.72124000,873
31540,248.46637000,263.68703000,876
31544,248.49788000,492.59052000,880
31547,248.52151000,377.87127000,883
31554,248.57666000,257.62564000,890
31556,248.59241000,265.45823000,892
31567,248.67907000,543.06029000,903
31862,251.00295000,551.68547000,1198
31867,251.04234000,1704.85070000,1203
31870,251.06597000,630.42467000,1206
32435,255.51679000,541.50441000,1771
32440,255.55618000,340.87400000,1776
32446,255.60345000,292.40401000,1782
32449,255.62708000,430.56116000,1785
32456,255.68222000,456.17186000,1792
32459,255.70586000,650.17669000,1795
32462,255.72949000,898.99869000,1798
32466,255.76100000,1016.20850000,1802
32478,255.85553000,363.07761000,1814
32482,255.88704000,1916.63470000,1818
32487,255.92643000,265.06713000,1823
32489,255.94218000,270.41103000,1825
32731,257.84855000,720.74979000,2067
32734,257.87219000,489.83407000,2070
32745,257.95884000,1362.75890000,2081
32747,257.97460000,1541.89620000,2083
32750,257.99823000,1330.29350000,2086
32755,258.03762000,2460.10370000,2091
32758,258.06125000,705.29337000,2094
32762,258.09276000,302.64970000,2098
32766,258.12427000,535.24729000,2102
32768,258.14002000,937.67527000,2104
32771,258.16366000,362.60859000,2107
32773,258.17941000,259.57634000,2109
32775,258.19517000,466.93016000,2111
32798,258.37635000,273.97634000,2134
32803,258.41574000,315.51201000,2139
32808,258.45513000,268.18983000,2144
33270,262.09456000,245.72826000,2606
