Frequencia,Amplitud
1.71356201,-70.56879400
1.71432495,-70.57267800
1.71508789,-70.27050800
1.71585083,-70.47957600
1.71661377,-70.32696500
1.71737671,-70.08263400
1.71813965,-70.06292700
1.71890259,-69.72124500
1.71966553,-69.89874300
1.72042847,-69.77346000
1.72119141,-69.83218400
1.72195435,-69.53810100
1.72271729,-69.49221800
1.72348022,-69.49097400
1.72424316,-69.41552000
1.72500610,-69.26160400
1.72576904,-69.27980800
1.72653198,-69.21922300
1.72729492,-69.25475300
1.72805786,-69.55381800
1.72882080,-69.34662600
1.72958374,-69.24154700
1.73034668,-69.40703600
1.73110962,-69.55361200
1.73187256,-69.20167500
1.73263550,-69.15163400
1.73339844,-68.97822600
1.73416138,-69.16454300
1.73492432,-69.36232800
1.73568726,-69.39937600
1.73645020,-69.09033200
1.73721313,-69.13824500
1.73797607,-68.90058100
1.73873901,-68.85073900
1.73950195,-69.09030200
1.74026489,-69.35456800
1.74102783,-69.19159700
1.74179077,-69.09463500
1.74255371,-69.31858800
1.74331665,-69.25066400
1.74407959,-68.93671400
1.74484253,-69.03200500
1.74560547,-69.16109500
1.74636841,-68.99901600
1.74713135,-69.14009900
1.74789429,-68.94348100
1.74865723,-69.19633500
1.74942017,-68.95536000
1.75018311,-69.04757700
1.75094604,-69.17290500
1.75170898,-68.92143200
1.75247192,-68.80324600
1.75323486,-69.06483500
1.75399780,-69.07000700
1.75476074,-68.92587300
1.75552368,-68.76096300
1.75628662,-68.75151800
1.75704956,-68.79258700
1.75781250,-68.79438000
1.75857544,-68.81487300
1.75933838,-68.70700800
1.76010132,-68.48735800
1.76086426,-68.38855000
1.76162720,-68.50071700
1.76239014,-68.47911800
1.76315308,-68.52317800
1.76391602,-68.56292000
1.76467896,-68.62950100
1.76544189,-68.41234600
1.76620483,-68.03601100
1.76696777,-68.41796100
1.76773071,-68.24494900
1.76849365,-68.07702600
1.76925659,-68.03186800
1.77001953,-68.06238600
1.77078247,-68.12960100
1.77154541,-68.14415700
1.77230835,-68.01986700
1.77307129,-67.69932600
1.77383423,-67.86844600
1.77459717,-67.58831000
1.77536011,-67.45513200
1.77612305,-67.64450100
1.77688599,-67.70509300
1.77764893,-67.41590900
1.77841187,-67.63186600
1.77917480,-67.50871300
1.77993774,-67.26811200
1.78070068,-67.49645200
1.78146362,-67.52851900
1.78222656,-67.41433000
1.78298950,-67.52575700
1.78375244,-67.71441700
1.78451538,-67.85708600
1.78527832,-67.43864400
1.78604126,-67.20903000
1.78680420,-67.14609500
1.78756714,-67.08905800
1.78833008,-67.05715900
1.78909302,-67.12686200
1.78985596,-67.02150000
1.79061890,-67.06105000
1.79138184,-66.79377700
1.79214478,-66.90414400
1.79290771,-66.79241900
1.79367065,-66.54662300
1.79443359,-66.56327100
1.79519653,-66.30300100
1.79595947,-66.12307000
1.79672241,-65.86431900
1.79748535,-65.74179800
1.79824829,-65.90521200
1.79901123,-65.85114300
1.79977417,-65.67688800
1.80053711,-65.60025000
1.80130005,-65.86828600
1.80206299,-65.76754000
1.80282593,-66.03186000
1.80358887,-66.30252800
1.80435181,-66.28147900
1.80511475,-66.18543200
1.80587769,-66.22937000
1.80664062,-66.56420100
1.80740356,-66.69443500
1.80816650,-66.48949400
1.80892944,-66.46102900
1.80969238,-66.40339700
1.81045532,-66.55137600
1.81121826,-66.52284200
1.81198120,-66.78275300
1.81274414,-66.60115800
1.81350708,-66.49090600
1.81427002,-66.75619500
1.81503296,-66.44924900
1.81579590,-66.51996600
1.81655884,-66.44091800
1.81732178,-66.35920700
1.81808472,-66.13794700
1.81884766,-66.06365200
1.81961060,-66.06738300
1.82037354,-66.16774000
1.82113647,-66.21736100
1.82189941,-66.36450200
1.82266235,-65.83646400
1.82342529,-65.95365900
1.82418823,-66.00147200
1.82495117,-65.98872400
1.82571411,-66.21460000
1.82647705,-66.10061600
1.82723999,-66.05276500
1.82800293,-66.11419700
1.82876587,-65.96187600
1.82952881,-66.03995500
1.83029175,-65.81026500
1.83105469,-66.01103200
1.83181763,-65.87737300
1.83258057,-65.70226300
1.83334351,-65.76357300
1.83410645,-65.90325200
1.83486938,-65.86715700
1.83563232,-65.58987400
1.83639526,-65.59848000
1.83715820,-65.65654800
1.83792114,-65.83247400
1.83868408,-65.69580800
1.83944702,-65.36510500
1.84020996,-65.49137100
1.84097290,-65.55921200
1.84173584,-65.36555500
1.84249878,-65.50638600
1.84326172,-65.80959300
1.84402466,-65.57530200
1.84478760,-65.28896300
1.84555054,-65.10191300
1.84631348,-64.96495100
1.84707642,-64.95671100
1.84783936,-64.86540200
1.84860229,-64.86668400
1.84936523,-64.54166400
1.85012817,-64.47673000
1.85089111,-64.81658900
1.85165405,-65.05291000
1.85241699,-64.83375500
1.85317993,-64.64351700
1.85394287,-64.30748000
1.85470581,-63.95103500
1.85546875,-64.06005100
1.85623169,-63.99366000
1.85699463,-63.91700700
1.85775757,-63.96294800
1.85852051,-63.94921900
1.85928345,-63.69923800
1.86004639,-63.37071200
1.86080933,-63.45846600
1.86157227,-63.71249800
1.86233521,-63.93129700
1.86309814,-63.45710000
1.86386108,-63.38684100
1.86462402,-63.90559800
1.86538696,-63.92874500
1.86614990,-63.75438700
1.86691284,-63.95131300
1.86767578,-63.93630200
1.86843872,-63.57799100
1.86920166,-63.63310600
1.86996460,-63.93216700
1.87072754,-63.50640900
1.87149048,-63.52036300
1.87225342,-63.68881200
1.87301636,-63.67189400
1.87377930,-63.67134900
1.87454224,-63.70694700
1.87530518,-63.78490800
1.87606812,-63.98879600
1.87683105,-63.97902700
1.87759399,-63.76008200
1.87835693,-63.81427800
1.87911987,-63.63347600
1.87988281,-63.84368100
1.88064575,-64.10117300
1.88140869,-64.14172400
1.88217163,-64.21278400
1.88293457,-64.19209300
1.88369751,-64.11084700
1.88446045,-64.00700400
1.88522339,-63.78703700
1.88598633,-63.72835500
1.88674927,-63.95010400
1.88751221,-64.20845800
1.88827515,-64.11653100
1.88903809,-64.05102500
1.88980103,-63.99036400
1.89056396,-64.18422700
1.89132690,-64.15355700
1.89208984,-63.87690000
1.89285278,-63.82233000
1.89361572,-64.06044000
1.89437866,-63.98148300
1.89514160,-63.62516000
1.89590454,-63.62352800
1.89666748,-63.87712500
1.89743042,-63.80999000
1.89819336,-63.49575800
1.89895630,-63.60386300
1.89971924,-63.86241100
1.90048218,-63.65764600
1.90124512,-63.99137900
1.90200806,-63.72684900
1.90277100,-63.26145900
1.90353394,-63.22648200
1.90429688,-63.12419100
1.90505981,-63.27267500
1.90582275,-63.22327400
1.90658569,-63.00161000
1.90734863,-62.98601500
1.90811157,-63.30889500
1.90887451,-63.09130900
1.90963745,-62.94929500
1.91040039,-63.02460500
1.91116333,-62.61470000
1.91192627,-62.51886700
1.91268921,-62.39010600
1.91345215,-62.21682000
1.91421509,-62.29948800
1.91497803,-62.52883500
1.91574097,-62.68412400
1.91650391,-62.65746700
1.91726685,-62.40115700
1.91802979,-62.37616700
1.91879272,-62.49152000
1.91955566,-62.12796400
