Pair,Delta (microHz)
189.329470-121.700550,67.628920
189.345220-121.700550,67.644670
190.755310-121.700550,69.054760
190.794700-121.700550,69.094150
190.889230-121.700550,69.188680
191.164940-121.700550,69.464390
191.188570-121.700550,69.488020
193.748780-121.700550,72.048230
194.119030-121.700550,72.418480
194.284460-121.700550,72.583910
194.323850-121.700550,72.623300
194.339600-121.700550,72.639050
194.363230-121.700550,72.662680
194.410500-121.700550,72.709950
194.434130-121.700550,72.733580
194.489280-121.700550,72.788730
194.512910-121.700550,72.812360
194.528660-121.700550,72.828110
194.583810-121.700550,72.883260
194.599560-121.700550,72.899010
194.623190-121.700550,72.922640
194.638950-121.700550,72.938400
195.080090-121.700550,73.379540
195.796950-121.700550,74.096400
195.836340-121.700550,74.135790
195.875730-121.700550,74.175180
195.899360-121.700550,74.198810
195.915120-121.700550,74.214570
195.930870-121.700550,74.230320
195.954500-121.700550,74.253950
196.001770-121.700550,74.301220
196.025400-121.700550,74.324850
196.041160-121.700550,74.340610
196.056910-121.700550,74.356360
196.080540-121.700550,74.379990
196.112050-121.700550,74.411500
196.127810-121.700550,74.427260
196.151440-121.700550,74.450890
196.167200-121.700550,74.466650
196.198710-121.700550,74.498160
196.245970-121.700550,74.545420
196.450790-121.700550,74.750240
200.247780-121.700550,78.547230
200.263530-121.700550,78.562980
200.633780-121.700550,78.933230
200.649530-121.700550,78.948980
200.681040-121.700550,78.980490
202.461370-121.700550,80.760820
202.532270-121.700550,80.831720
202.603170-121.700550,80.902620
202.626800-121.700550,80.926250
202.721330-121.700550,81.020780
202.737090-121.700550,81.036540
202.752840-121.700550,81.052290
202.776480-121.700550,81.075930
202.792230-121.700550,81.091680
202.823740-121.700550,81.123190
202.847380-121.700550,81.146830
202.894640-121.700550,81.194090
202.918270-121.700550,81.217720
202.941910-121.700550,81.241360
202.957660-121.700550,81.257110
202.997050-121.700550,81.296500
204.533170-121.700550,82.832620
204.572560-121.700550,82.872010
204.911300-121.700550,83.210750
204.927050-121.700550,83.226500
204.942810-121.700550,83.242260
208.007180-121.700550,86.306630
208.148980-121.700550,86.448430
208.172610-121.700550,86.472060
208.314410-121.700550,86.613860
209.771760-121.700550,88.071210
209.787510-121.700550,88.086960
209.819020-121.700550,88.118470
209.834780-121.700550,88.134230
209.897800-121.700550,88.197250
209.921430-121.700550,88.220880
209.952940-121.700550,88.252390
210.031720-121.700550,88.331170
210.086860-121.700550,88.386310
217.247570-121.700550,95.547020
217.286960-121.700550,95.586410
217.365730-121.700550,95.665180
222.171050-121.700550,100.470500
222.446760-121.700550,100.746210
223.620520-121.700550,101.919970
122.039280-121.826590,0.212690
124.552230-121.826590,2.725640
125.221820-121.826590,3.395230
125.710230-121.826590,3.883640
125.796880-121.826590,3.970290
126.466480-121.826590,4.639890
126.482230-121.826590,4.655640
127.600850-121.826590,5.774260
128.357090-121.826590,6.530500
128.372850-121.826590,6.546260
128.396480-121.826590,6.569890
128.420110-121.826590,6.593520
128.695830-121.826590,6.869240
128.719460-121.826590,6.892870
129.136970-121.826590,7.310380
131.279670-121.826590,9.453080
135.037270-121.826590,13.210680
135.060900-121.826590,13.234310
135.494170-121.826590,13.667580
136.037720-121.826590,14.211130
136.455230-121.826590,14.628640
141.685940-121.826590,19.859350
141.725330-121.826590,19.898740
141.796220-121.826590,19.969630
141.819860-121.826590,19.993270
