Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
13953,112.44067000,653.95602000,1266
13959,112.48902000,1671.84860000,1260
13964,112.52932000,984.14577000,1255
13968,112.56155000,9918.30930000,1251
13972,112.59378000,10651.62100000,1247
13976,112.62602000,5301.45920000,1243
13983,112.68243000,6443.92600000,1236
13985,112.69854000,4244.92920000,1234
13989,112.73078000,1125.33180000,1230
14008,112.88389000,705.43722000,1211
14126,113.83480000,950.28781000,1093
14173,114.21355000,8067.30680000,1046
14250,114.83406000,723.62452000,969
14417,116.17983000,912.89864000,802
14421,116.21206000,6391.60170000,798
14501,116.85675000,760.85277000,718
14530,117.09044000,700.13719000,689
14536,117.13879000,4730.56400000,683
14540,117.17103000,19329.81000000,679
14542,117.18715000,764.47937000,677
14545,117.21132000,1101.33860000,674
14547,117.22744000,918.99204000,672
14590,117.57396000,1370.77290000,629
14593,117.59813000,1000.62440000,626
14598,117.63842000,819.06601000,621
14610,117.73513000,1319.37460000,609
14612,117.75124000,789.80089000,607
14614,117.76736000,1558.23620000,605
14619,117.80765000,2752.43710000,600
14621,117.82377000,1358.62450000,598
14623,117.83989000,16744.08700000,596
14625,117.85600000,5171.83020000,594
14628,117.88018000,1388.53030000,591
14631,117.90436000,4927.06050000,588
14635,117.93659000,1737.25700000,584
14639,117.96882000,1901.91650000,580
14642,117.99300000,1139.29180000,577
14645,118.01717000,737.01524000,574
14649,118.04941000,1043.40840000,570
14652,118.07358000,691.37446000,567
14667,118.19446000,720.69193000,552
14672,118.23476000,992.22054000,547
14676,118.26699000,1075.35480000,543
14701,118.46845000,1110.93800000,518
14706,118.50875000,1639.18770000,513
14710,118.54098000,13691.03100000,509
14715,118.58127000,1945.21850000,504
14719,118.61351000,3230.53700000,500
14732,118.71827000,667.28022000,487
14743,118.80691000,642.60689000,476
14835,119.54830000,4197.74250000,384
14969,120.62814000,1881.30690000,250
15009,120.95048000,724.56741000,210
15021,121.04718000,820.71709000,198
15029,121.11165000,680.07498000,190
15031,121.12777000,776.79121000,188
15040,121.20029000,953.09067000,179
15042,121.21641000,1666.30580000,177
15046,121.24865000,2766.26930000,173
15051,121.28894000,692.86576000,168
15055,121.32117000,1393.75790000,164
15059,121.35341000,3314.44170000,160
15061,121.36952000,1527.12170000,158
15063,121.38564000,3872.31820000,156
15067,121.41787000,4915.43760000,152
15070,121.44205000,7188.18410000,149
15073,121.46623000,11541.25500000,146
15075,121.48234000,4600.80520000,144
15077,121.49846000,4471.00360000,142
15081,121.53069000,1712.51020000,138
15083,121.54681000,1419.16420000,136
15092,121.61934000,1114.60640000,127
15099,121.67575000,709.32976000,120
15108,121.74827000,1180.13950000,111
15118,121.82886000,649.54310000,101
15130,121.92556000,780.38372000,89
15132,121.94168000,1014.40600000,87
15172,122.26402000,875.08582000,47
15183,122.35266000,1409.98840000,36
15190,122.40907000,975.87894000,29
15194,122.44131000,859.15165000,25
15197,122.46548000,894.58444000,22
15202,122.50578000,2210.95330000,17
15206,122.53801000,1527.51590000,13
15208,122.55413000,2234.63730000,11
15210,122.57024000,1685.11140000,9
15213,122.59442000,6164.65090000,6
15215,122.61054000,7674.14900000,4
15217,122.62665000,3107.97550000,2
15219,122.64277000,21255.46700000,0
15221,122.65889000,16072.36100000,2
