Pair,Delta (microHz)
112.029690-108.459760,3.569930
112.053860-108.459760,3.594100
112.263380-108.459760,3.803620
112.360090-108.459760,3.900330
112.376200-108.459760,3.916440
112.440670-108.459760,3.980910
112.489020-108.459760,4.029260
112.529320-108.459760,4.069560
112.561550-108.459760,4.101790
112.593780-108.459760,4.134020
112.626020-108.459760,4.166260
112.682430-108.459760,4.222670
112.698540-108.459760,4.238780
112.730780-108.459760,4.271020
112.883890-108.459760,4.424130
113.834800-108.459760,5.375040
114.213550-108.459760,5.753790
114.834060-108.459760,6.374300
116.179830-108.459760,7.720070
116.212060-108.459760,7.752300
116.856750-108.459760,8.396990
117.090440-108.459760,8.630680
117.138790-108.459760,8.679030
117.171030-108.459760,8.711270
117.187150-108.459760,8.727390
117.211320-108.459760,8.751560
117.227440-108.459760,8.767680
117.573960-108.459760,9.114200
117.598130-108.459760,9.138370
117.638420-108.459760,9.178660
117.735130-108.459760,9.275370
117.751240-108.459760,9.291480
117.767360-108.459760,9.307600
117.807650-108.459760,9.347890
117.823770-108.459760,9.364010
117.839890-108.459760,9.380130
117.856000-108.459760,9.396240
117.880180-108.459760,9.420420
117.904360-108.459760,9.444600
117.936590-108.459760,9.476830
117.968820-108.459760,9.509060
117.993000-108.459760,9.533240
118.017170-108.459760,9.557410
118.049410-108.459760,9.589650
118.073580-108.459760,9.613820
118.194460-108.459760,9.734700
118.234760-108.459760,9.775000
118.266990-108.459760,9.807230
118.468450-108.459760,10.008690
118.508750-108.459760,10.048990
118.540980-108.459760,10.081220
118.581270-108.459760,10.121510
118.613510-108.459760,10.153750
118.718270-108.459760,10.258510
118.806910-108.459760,10.347150
119.548300-108.459760,11.088540
120.628140-108.459760,12.168380
120.950480-108.459760,12.490720
121.047180-108.459760,12.587420
121.111650-108.459760,12.651890
121.127770-108.459760,12.668010
121.200290-108.459760,12.740530
121.216410-108.459760,12.756650
121.248650-108.459760,12.788890
121.288940-108.459760,12.829180
121.321170-108.459760,12.861410
121.353410-108.459760,12.893650
121.369520-108.459760,12.909760
121.385640-108.459760,12.925880
121.417870-108.459760,12.958110
121.442050-108.459760,12.982290
121.466230-108.459760,13.006470
121.482340-108.459760,13.022580
121.498460-108.459760,13.038700
121.530690-108.459760,13.070930
121.546810-108.459760,13.087050
121.619340-108.459760,13.159580
121.675750-108.459760,13.215990
121.748270-108.459760,13.288510
121.828860-108.459760,13.369100
121.925560-108.459760,13.465800
121.941680-108.459760,13.481920
122.264020-108.459760,13.804260
122.352660-108.459760,13.892900
122.409070-108.459760,13.949310
122.441310-108.459760,13.981550
122.465480-108.459760,14.005720
122.505780-108.459760,14.046020
122.538010-108.459760,14.078250
122.554130-108.459760,14.094370
122.570240-108.459760,14.110480
122.594420-108.459760,14.134660
122.610540-108.459760,14.150780
122.626650-108.459760,14.166890
122.642770-108.459760,14.183010
122.658890-108.459760,14.199130
122.691120-108.459760,14.231360
122.707240-108.459760,14.247480
122.723360-108.459760,14.263600
122.739470-108.459760,14.279710
122.787820-108.459760,14.328060
122.812000-108.459760,14.352240
122.844230-108.459760,14.384470
122.876470-108.459760,14.416710
122.908700-108.459760,14.448940
122.932880-108.459760,14.473120
123.021520-108.459760,14.561760
124.351180-108.459760,15.891420
124.810520-108.459760,16.350760
124.850810-108.459760,16.391050
125.302090-108.459760,16.842330
126.067650-108.459760,17.607890
126.333580-108.459760,17.873820
126.365810-108.459760,17.906050
126.381930-108.459760,17.922170
127.074960-108.459760,18.615200
127.252250-108.459760,18.792490
127.357010-108.459760,18.897250
127.389250-108.459760,18.929490
127.413420-108.459760,18.953660
127.429540-108.459760,18.969780
127.445660-108.459760,18.985900
127.485950-108.459760,19.026190
127.832460-108.459760,19.372700
127.848580-108.459760,19.388820
127.929170-108.459760,19.469410
127.945280-108.459760,19.485520
127.993640-108.459760,19.533880
128.041990-108.459760,19.582230
128.058100-108.459760,19.598340
128.090340-108.459760,19.630580
128.106450-108.459760,19.646690
128.130630-108.459760,19.670870
128.154810-108.459760,19.695050
128.404620-108.459760,19.944860
129.081540-108.459760,20.621780
129.105710-108.459760,20.645950
129.129890-108.459760,20.670130
131.120340-108.459760,22.660580
131.144520-108.459760,22.684760
131.305690-108.459760,22.845930
131.321810-108.459760,22.862050
131.337930-108.459760,22.878170
131.370160-108.459760,22.910400
131.394330-108.459760,22.934570
131.418510-108.459760,22.958750
131.450740-108.459760,22.990980
131.474920-108.459760,23.015160
131.499100-108.459760,23.039340
131.515210-108.459760,23.055450
131.587740-108.459760,23.127980
131.611920-108.459760,23.152160
132.095430-108.459760,23.635670
132.224360-108.459760,23.764600
132.361360-108.459760,23.901600
132.401650-108.459760,23.941890
132.417770-108.459760,23.958010
132.441940-108.459760,23.982180
132.458060-108.459760,23.998300
132.474180-108.459760,24.014420
132.490300-108.459760,24.030540
132.522530-108.459760,24.062770
132.538650-108.459760,24.078890
132.554760-108.459760,24.095000
132.595060-108.459760,24.135300
132.619230-108.459760,24.159470
132.651470-108.459760,24.191710
132.683700-108.459760,24.223940
132.740110-108.459760,24.280350
132.764290-108.459760,24.304530
132.780400-108.459760,24.320640
132.836810-108.459760,24.377050
132.852930-108.459760,24.393170
132.877100-108.459760,24.417340
132.909340-108.459760,24.449580
134.956210-108.459760,26.496450
136.954720-108.459760,28.494960
136.995010-108.459760,28.535250
137.752520-108.459760,29.292760
137.816980-108.459760,29.357220
137.833100-108.459760,29.373340
137.849220-108.459760,29.389460
137.865330-108.459760,29.405570
137.889510-108.459760,29.429750
137.905630-108.459760,29.445870
137.921740-108.459760,29.461980
137.953980-108.459760,29.494220
137.978150-108.459760,29.518390
138.018450-108.459760,29.558690
138.058740-108.459760,29.598980
138.784010-108.459760,30.324250
138.816240-108.459760,30.356480
141.016220-108.459760,32.556460
141.411090-108.459760,32.951330
141.523910-108.459760,33.064150
141.620610-108.459760,33.160850
141.652840-108.459760,33.193080
141.685080-108.459760,33.225320
141.717310-108.459760,33.257550
142.023540-108.459760,33.563780
142.619870-108.459760,34.160110
142.644040-108.459760,34.184280
142.756860-108.459760,34.297100
142.789100-108.459760,34.329340
142.805210-108.459760,34.345450
142.853560-108.459760,34.393800
142.885800-108.459760,34.426040
142.918030-108.459760,34.458270
142.974440-108.459760,34.514680
143.030850-108.459760,34.571090
143.256490-108.459760,34.796730
146.318730-108.459760,37.858970
147.551690-108.459760,39.091930
147.648390-108.459760,39.188630
147.680620-108.459760,39.220860
147.696740-108.459760,39.236980
147.712860-108.459760,39.253100
147.753150-108.459760,39.293390
147.793440-108.459760,39.333680
148.510650-108.459760,40.050890
148.526770-108.459760,40.067010
108.612870-108.580640,0.032230
108.637050-108.580640,0.056410
109.475130-108.580640,0.894490
110.007000-108.580640,1.426360
111.135190-108.580640,2.554550
111.159370-108.580640,2.578730
111.183540-108.580640,2.602900
111.199660-108.580640,2.619020
111.223830-108.580640,2.643190
111.256070-108.580640,2.675430
111.272190-108.580640,2.691550
111.288300-108.580640,2.707660
111.320540-108.580640,2.739900
111.344710-108.580640,2.764070
111.376950-108.580640,2.796310
111.401120-108.580640,2.820480
111.417240-108.580640,2.836600
111.441410-108.580640,2.860770
111.457530-108.580640,2.876890
111.473650-108.580640,2.893010
111.522000-108.580640,2.941360
111.538120-108.580640,2.957480
111.554230-108.580640,2.973590
111.578410-108.580640,2.997770
111.667050-108.580640,3.086410
111.852400-108.580640,3.271760
112.029690-108.580640,3.449050
112.053860-108.580640,3.473220
112.263380-108.580640,3.682740
112.360090-108.580640,3.779450
112.376200-108.580640,3.795560
112.440670-108.580640,3.860030
112.489020-108.580640,3.908380
112.529320-108.580640,3.948680
112.561550-108.580640,3.980910
112.593780-108.580640,4.013140
112.626020-108.580640,4.045380
112.682430-108.580640,4.101790
112.698540-108.580640,4.117900
112.730780-108.580640,4.150140
112.883890-108.580640,4.303250
113.834800-108.580640,5.254160
114.213550-108.580640,5.632910
114.834060-108.580640,6.253420
116.179830-108.580640,7.599190
116.212060-108.580640,7.631420
116.856750-108.580640,8.276110
117.090440-108.580640,8.509800
117.138790-108.580640,8.558150
117.171030-108.580640,8.590390
117.187150-108.580640,8.606510
117.211320-108.580640,8.630680
117.227440-108.580640,8.646800
117.573960-108.580640,8.993320
117.598130-108.580640,9.017490
117.638420-108.580640,9.057780
117.735130-108.580640,9.154490
117.751240-108.580640,9.170600
117.767360-108.580640,9.186720
117.807650-108.580640,9.227010
117.823770-108.580640,9.243130
117.839890-108.580640,9.259250
117.856000-108.580640,9.275360
117.880180-108.580640,9.299540
117.904360-108.580640,9.323720
117.936590-108.580640,9.355950
117.968820-108.580640,9.388180
117.993000-108.580640,9.412360
118.017170-108.580640,9.436530
118.049410-108.580640,9.468770
118.073580-108.580640,9.492940
118.194460-108.580640,9.613820
118.234760-108.580640,9.654120
118.266990-108.580640,9.686350
118.468450-108.580640,9.887810
118.508750-108.580640,9.928110
118.540980-108.580640,9.960340
118.581270-108.580640,10.000630
118.613510-108.580640,10.032870
118.718270-108.580640,10.137630
118.806910-108.580640,10.226270
119.548300-108.580640,10.967660
120.628140-108.580640,12.047500
120.950480-108.580640,12.369840
121.047180-108.580640,12.466540
121.111650-108.580640,12.531010
121.127770-108.580640,12.547130
121.200290-108.580640,12.619650
121.216410-108.580640,12.635770
121.248650-108.580640,12.668010
121.288940-108.580640,12.708300
121.321170-108.580640,12.740530
121.353410-108.580640,12.772770
121.369520-108.580640,12.788880
121.385640-108.580640,12.805000
121.417870-108.580640,12.837230
121.442050-108.580640,12.861410
121.466230-108.580640,12.885590
121.482340-108.580640,12.901700
121.498460-108.580640,12.917820
121.530690-108.580640,12.950050
121.546810-108.580640,12.966170
121.619340-108.580640,13.038700
121.675750-108.580640,13.095110
121.748270-108.580640,13.167630
121.828860-108.580640,13.248220
121.925560-108.580640,13.344920
121.941680-108.580640,13.361040
122.264020-108.580640,13.683380
122.352660-108.580640,13.772020
122.409070-108.580640,13.828430
122.441310-108.580640,13.860670
122.465480-108.580640,13.884840
122.505780-108.580640,13.925140
122.538010-108.580640,13.957370
122.554130-108.580640,13.973490
122.570240-108.580640,13.989600
122.594420-108.580640,14.013780
122.610540-108.580640,14.029900
122.626650-108.580640,14.046010
122.642770-108.580640,14.062130
122.658890-108.580640,14.078250
122.691120-108.580640,14.110480
122.707240-108.580640,14.126600
122.723360-108.580640,14.142720
122.739470-108.580640,14.158830
122.787820-108.580640,14.207180
122.812000-108.580640,14.231360
122.844230-108.580640,14.263590
122.876470-108.580640,14.295830
122.908700-108.580640,14.328060
122.932880-108.580640,14.352240
123.021520-108.580640,14.440880
124.351180-108.580640,15.770540
124.810520-108.580640,16.229880
124.850810-108.580640,16.270170
125.302090-108.580640,16.721450
126.067650-108.580640,17.487010
126.333580-108.580640,17.752940
126.365810-108.580640,17.785170
126.381930-108.580640,17.801290
127.074960-108.580640,18.494320
127.252250-108.580640,18.671610
127.357010-108.580640,18.776370
127.389250-108.580640,18.808610
127.413420-108.580640,18.832780
127.429540-108.580640,18.848900
127.445660-108.580640,18.865020
127.485950-108.580640,18.905310
127.832460-108.580640,19.251820
127.848580-108.580640,19.267940
127.929170-108.580640,19.348530
127.945280-108.580640,19.364640
127.993640-108.580640,19.413000
128.041990-108.580640,19.461350
128.058100-108.580640,19.477460
128.090340-108.580640,19.509700
128.106450-108.580640,19.525810
128.130630-108.580640,19.549990
128.154810-108.580640,19.574170
128.404620-108.580640,19.823980
129.081540-108.580640,20.500900
129.105710-108.580640,20.525070
129.129890-108.580640,20.549250
131.120340-108.580640,22.539700
131.144520-108.580640,22.563880
131.305690-108.580640,22.725050
131.321810-108.580640,22.741170
131.337930-108.580640,22.757290
131.370160-108.580640,22.789520
131.394330-108.580640,22.813690
131.418510-108.580640,22.837870
131.450740-108.580640,22.870100
131.474920-108.580640,22.894280
131.499100-108.580640,22.918460
131.515210-108.580640,22.934570
131.587740-108.580640,23.007100
131.611920-108.580640,23.031280
132.095430-108.580640,23.514790
132.224360-108.580640,23.643720
132.361360-108.580640,23.780720
132.401650-108.580640,23.821010
132.417770-108.580640,23.837130
132.441940-108.580640,23.861300
132.458060-108.580640,23.877420
132.474180-108.580640,23.893540
132.490300-108.580640,23.909660
132.522530-108.580640,23.941890
132.538650-108.580640,23.958010
132.554760-108.580640,23.974120
132.595060-108.580640,24.014420
132.619230-108.580640,24.038590
132.651470-108.580640,24.070830
132.683700-108.580640,24.103060
132.740110-108.580640,24.159470
132.764290-108.580640,24.183650
132.780400-108.580640,24.199760
132.836810-108.580640,24.256170
132.852930-108.580640,24.272290
132.877100-108.580640,24.296460
132.909340-108.580640,24.328700
134.956210-108.580640,26.375570
136.954720-108.580640,28.374080
136.995010-108.580640,28.414370
137.752520-108.580640,29.171880
137.816980-108.580640,29.236340
137.833100-108.580640,29.252460
137.849220-108.580640,29.268580
137.865330-108.580640,29.284690
137.889510-108.580640,29.308870
137.905630-108.580640,29.324990
137.921740-108.580640,29.341100
137.953980-108.580640,29.373340
137.978150-108.580640,29.397510
138.018450-108.580640,29.437810
138.058740-108.580640,29.478100
138.784010-108.580640,30.203370
138.816240-108.580640,30.235600
141.016220-108.580640,32.435580
141.411090-108.580640,32.830450
141.523910-108.580640,32.943270
141.620610-108.580640,33.039970
141.652840-108.580640,33.072200
141.685080-108.580640,33.104440
141.717310-108.580640,33.136670
142.023540-108.580640,33.442900
142.619870-108.580640,34.039230
142.644040-108.580640,34.063400
142.756860-108.580640,34.176220
142.789100-108.580640,34.208460
142.805210-108.580640,34.224570
142.853560-108.580640,34.272920
142.885800-108.580640,34.305160
142.918030-108.580640,34.337390
142.974440-108.580640,34.393800
143.030850-108.580640,34.450210
143.256490-108.580640,34.675850
146.318730-108.580640,37.738090
147.551690-108.580640,38.971050
147.648390-108.580640,39.067750
147.680620-108.580640,39.099980
147.696740-108.580640,39.116100
147.712860-108.580640,39.132220
147.753150-108.580640,39.172510
147.793440-108.580640,39.212800
148.510650-108.580640,39.930010
148.526770-108.580640,39.946130
108.637050-108.612870,0.024180
109.475130-108.612870,0.862260
110.007000-108.612870,1.394130
111.135190-108.612870,2.522320
111.159370-108.612870,2.546500
111.183540-108.612870,2.570670
111.199660-108.612870,2.586790
111.223830-108.612870,2.610960
111.256070-108.612870,2.643200
111.272190-108.612870,2.659320
111.288300-108.612870,2.675430
111.320540-108.612870,2.707670
111.344710-108.612870,2.731840
111.376950-108.612870,2.764080
111.401120-108.612870,2.788250
111.417240-108.612870,2.804370
111.441410-108.612870,2.828540
111.457530-108.612870,2.844660
111.473650-108.612870,2.860780
111.522000-108.612870,2.909130
111.538120-108.612870,2.925250
111.554230-108.612870,2.941360
111.578410-108.612870,2.965540
111.667050-108.612870,3.054180
111.852400-108.612870,3.239530
112.029690-108.612870,3.416820
112.053860-108.612870,3.440990
112.263380-108.612870,3.650510
112.360090-108.612870,3.747220
112.376200-108.612870,3.763330
112.440670-108.612870,3.827800
112.489020-108.612870,3.876150
112.529320-108.612870,3.916450
112.561550-108.612870,3.948680
112.593780-108.612870,3.980910
112.626020-108.612870,4.013150
112.682430-108.612870,4.069560
112.698540-108.612870,4.085670
112.730780-108.612870,4.117910
112.883890-108.612870,4.271020
113.834800-108.612870,5.221930
114.213550-108.612870,5.600680
114.834060-108.612870,6.221190
116.179830-108.612870,7.566960
116.212060-108.612870,7.599190
116.856750-108.612870,8.243880
117.090440-108.612870,8.477570
117.138790-108.612870,8.525920
117.171030-108.612870,8.558160
117.187150-108.612870,8.574280
117.211320-108.612870,8.598450
117.227440-108.612870,8.614570
117.573960-108.612870,8.961090
117.598130-108.612870,8.985260
117.638420-108.612870,9.025550
117.735130-108.612870,9.122260
117.751240-108.612870,9.138370
117.767360-108.612870,9.154490
117.807650-108.612870,9.194780
117.823770-108.612870,9.210900
117.839890-108.612870,9.227020
117.856000-108.612870,9.243130
117.880180-108.612870,9.267310
117.904360-108.612870,9.291490
117.936590-108.612870,9.323720
117.968820-108.612870,9.355950
117.993000-108.612870,9.380130
118.017170-108.612870,9.404300
118.049410-108.612870,9.436540
118.073580-108.612870,9.460710
118.194460-108.612870,9.581590
118.234760-108.612870,9.621890
118.266990-108.612870,9.654120
118.468450-108.612870,9.855580
118.508750-108.612870,9.895880
118.540980-108.612870,9.928110
118.581270-108.612870,9.968400
118.613510-108.612870,10.000640
118.718270-108.612870,10.105400
118.806910-108.612870,10.194040
119.548300-108.612870,10.935430
120.628140-108.612870,12.015270
120.950480-108.612870,12.337610
121.047180-108.612870,12.434310
121.111650-108.612870,12.498780
121.127770-108.612870,12.514900
121.200290-108.612870,12.587420
121.216410-108.612870,12.603540
121.248650-108.612870,12.635780
121.288940-108.612870,12.676070
121.321170-108.612870,12.708300
121.353410-108.612870,12.740540
121.369520-108.612870,12.756650
121.385640-108.612870,12.772770
121.417870-108.612870,12.805000
121.442050-108.612870,12.829180
121.466230-108.612870,12.853360
121.482340-108.612870,12.869470
121.498460-108.612870,12.885590
121.530690-108.612870,12.917820
121.546810-108.612870,12.933940
121.619340-108.612870,13.006470
121.675750-108.612870,13.062880
121.748270-108.612870,13.135400
121.828860-108.612870,13.215990
121.925560-108.612870,13.312690
121.941680-108.612870,13.328810
122.264020-108.612870,13.651150
122.352660-108.612870,13.739790
122.409070-108.612870,13.796200
122.441310-108.612870,13.828440
122.465480-108.612870,13.852610
122.505780-108.612870,13.892910
122.538010-108.612870,13.925140
122.554130-108.612870,13.941260
122.570240-108.612870,13.957370
122.594420-108.612870,13.981550
122.610540-108.612870,13.997670
122.626650-108.612870,14.013780
122.642770-108.612870,14.029900
122.658890-108.612870,14.046020
122.691120-108.612870,14.078250
122.707240-108.612870,14.094370
122.723360-108.612870,14.110490
122.739470-108.612870,14.126600
122.787820-108.612870,14.174950
122.812000-108.612870,14.199130
122.844230-108.612870,14.231360
122.876470-108.612870,14.263600
122.908700-108.612870,14.295830
122.932880-108.612870,14.320010
123.021520-108.612870,14.408650
124.351180-108.612870,15.738310
124.810520-108.612870,16.197650
124.850810-108.612870,16.237940
125.302090-108.612870,16.689220
126.067650-108.612870,17.454780
126.333580-108.612870,17.720710
126.365810-108.612870,17.752940
126.381930-108.612870,17.769060
127.074960-108.612870,18.462090
127.252250-108.612870,18.639380
127.357010-108.612870,18.744140
127.389250-108.612870,18.776380
127.413420-108.612870,18.800550
127.429540-108.612870,18.816670
127.445660-108.612870,18.832790
127.485950-108.612870,18.873080
127.832460-108.612870,19.219590
127.848580-108.612870,19.235710
127.929170-108.612870,19.316300
127.945280-108.612870,19.332410
127.993640-108.612870,19.380770
128.041990-108.612870,19.429120
128.058100-108.612870,19.445230
128.090340-108.612870,19.477470
128.106450-108.612870,19.493580
128.130630-108.612870,19.517760
128.154810-108.612870,19.541940
128.404620-108.612870,19.791750
129.081540-108.612870,20.468670
129.105710-108.612870,20.492840
129.129890-108.612870,20.517020
131.120340-108.612870,22.507470
131.144520-108.612870,22.531650
131.305690-108.612870,22.692820
131.321810-108.612870,22.708940
131.337930-108.612870,22.725060
131.370160-108.612870,22.757290
131.394330-108.612870,22.781460
131.418510-108.612870,22.805640
131.450740-108.612870,22.837870
131.474920-108.612870,22.862050
131.499100-108.612870,22.886230
131.515210-108.612870,22.902340
131.587740-108.612870,22.974870
131.611920-108.612870,22.999050
132.095430-108.612870,23.482560
132.224360-108.612870,23.611490
132.361360-108.612870,23.748490
132.401650-108.612870,23.788780
132.417770-108.612870,23.804900
132.441940-108.612870,23.829070
132.458060-108.612870,23.845190
132.474180-108.612870,23.861310
132.490300-108.612870,23.877430
132.522530-108.612870,23.909660
132.538650-108.612870,23.925780
132.554760-108.612870,23.941890
132.595060-108.612870,23.982190
132.619230-108.612870,24.006360
132.651470-108.612870,24.038600
132.683700-108.612870,24.070830
132.740110-108.612870,24.127240
132.764290-108.612870,24.151420
132.780400-108.612870,24.167530
132.836810-108.612870,24.223940
132.852930-108.612870,24.240060
132.877100-108.612870,24.264230
132.909340-108.612870,24.296470
134.956210-108.612870,26.343340
136.954720-108.612870,28.341850
136.995010-108.612870,28.382140
137.752520-108.612870,29.139650
137.816980-108.612870,29.204110
137.833100-108.612870,29.220230
137.849220-108.612870,29.236350
137.865330-108.612870,29.252460
137.889510-108.612870,29.276640
137.905630-108.612870,29.292760
137.921740-108.612870,29.308870
137.953980-108.612870,29.341110
137.978150-108.612870,29.365280
138.018450-108.612870,29.405580
138.058740-108.612870,29.445870
138.784010-108.612870,30.171140
138.816240-108.612870,30.203370
141.016220-108.612870,32.403350
141.411090-108.612870,32.798220
141.523910-108.612870,32.911040
141.620610-108.612870,33.007740
141.652840-108.612870,33.039970
141.685080-108.612870,33.072210
141.717310-108.612870,33.104440
142.023540-108.612870,33.410670
142.619870-108.612870,34.007000
142.644040-108.612870,34.031170
142.756860-108.612870,34.143990
142.789100-108.612870,34.176230
142.805210-108.612870,34.192340
142.853560-108.612870,34.240690
142.885800-108.612870,34.272930
142.918030-108.612870,34.305160
142.974440-108.612870,34.361570
143.030850-108.612870,34.417980
143.256490-108.612870,34.643620
146.318730-108.612870,37.705860
147.551690-108.612870,38.938820
147.648390-108.612870,39.035520
147.680620-108.612870,39.067750
147.696740-108.612870,39.083870
147.712860-108.612870,39.099990
147.753150-108.612870,39.140280
147.793440-108.612870,39.180570
148.510650-108.612870,39.897780
148.526770-108.612870,39.913900
109.475130-108.637050,0.838080
110.007000-108.637050,1.369950
111.135190-108.637050,2.498140
111.159370-108.637050,2.522320
111.183540-108.637050,2.546490
111.199660-108.637050,2.562610
111.223830-108.637050,2.586780
111.256070-108.637050,2.619020
111.272190-108.637050,2.635140
111.288300-108.637050,2.651250
111.320540-108.637050,2.683490
111.344710-108.637050,2.707660
111.376950-108.637050,2.739900
111.401120-108.637050,2.764070
111.417240-108.637050,2.780190
111.441410-108.637050,2.804360
111.457530-108.637050,2.820480
111.473650-108.637050,2.836600
111.522000-108.637050,2.884950
111.538120-108.637050,2.901070
111.554230-108.637050,2.917180
111.578410-108.637050,2.941360
111.667050-108.637050,3.030000
111.852400-108.637050,3.215350
112.029690-108.637050,3.392640
112.053860-108.637050,3.416810
112.263380-108.637050,3.626330
112.360090-108.637050,3.723040
112.376200-108.637050,3.739150
112.440670-108.637050,3.803620
112.489020-108.637050,3.851970
112.529320-108.637050,3.892270
112.561550-108.637050,3.924500
112.593780-108.637050,3.956730
112.626020-108.637050,3.988970
112.682430-108.637050,4.045380
112.698540-108.637050,4.061490
112.730780-108.637050,4.093730
112.883890-108.637050,4.246840
113.834800-108.637050,5.197750
114.213550-108.637050,5.576500
114.834060-108.637050,6.197010
116.179830-108.637050,7.542780
116.212060-108.637050,7.575010
116.856750-108.637050,8.219700
117.090440-108.637050,8.453390
117.138790-108.637050,8.501740
117.171030-108.637050,8.533980
117.187150-108.637050,8.550100
117.211320-108.637050,8.574270
117.227440-108.637050,8.590390
117.573960-108.637050,8.936910
117.598130-108.637050,8.961080
117.638420-108.637050,9.001370
117.735130-108.637050,9.098080
117.751240-108.637050,9.114190
117.767360-108.637050,9.130310
117.807650-108.637050,9.170600
117.823770-108.637050,9.186720
117.839890-108.637050,9.202840
117.856000-108.637050,9.218950
117.880180-108.637050,9.243130
117.904360-108.637050,9.267310
117.936590-108.637050,9.299540
117.968820-108.637050,9.331770
117.993000-108.637050,9.355950
118.017170-108.637050,9.380120
118.049410-108.637050,9.412360
118.073580-108.637050,9.436530
118.194460-108.637050,9.557410
118.234760-108.637050,9.597710
118.266990-108.637050,9.629940
118.468450-108.637050,9.831400
118.508750-108.637050,9.871700
118.540980-108.637050,9.903930
118.581270-108.637050,9.944220
118.613510-108.637050,9.976460
118.718270-108.637050,10.081220
118.806910-108.637050,10.169860
119.548300-108.637050,10.911250
120.628140-108.637050,11.991090
120.950480-108.637050,12.313430
121.047180-108.637050,12.410130
121.111650-108.637050,12.474600
121.127770-108.637050,12.490720
121.200290-108.637050,12.563240
121.216410-108.637050,12.579360
121.248650-108.637050,12.611600
121.288940-108.637050,12.651890
121.321170-108.637050,12.684120
121.353410-108.637050,12.716360
121.369520-108.637050,12.732470
121.385640-108.637050,12.748590
121.417870-108.637050,12.780820
121.442050-108.637050,12.805000
121.466230-108.637050,12.829180
121.482340-108.637050,12.845290
121.498460-108.637050,12.861410
121.530690-108.637050,12.893640
121.546810-108.637050,12.909760
121.619340-108.637050,12.982290
121.675750-108.637050,13.038700
121.748270-108.637050,13.111220
121.828860-108.637050,13.191810
121.925560-108.637050,13.288510
121.941680-108.637050,13.304630
122.264020-108.637050,13.626970
122.352660-108.637050,13.715610
122.409070-108.637050,13.772020
122.441310-108.637050,13.804260
122.465480-108.637050,13.828430
122.505780-108.637050,13.868730
122.538010-108.637050,13.900960
122.554130-108.637050,13.917080
122.570240-108.637050,13.933190
122.594420-108.637050,13.957370
122.610540-108.637050,13.973490
122.626650-108.637050,13.989600
122.642770-108.637050,14.005720
122.658890-108.637050,14.021840
122.691120-108.637050,14.054070
122.707240-108.637050,14.070190
122.723360-108.637050,14.086310
122.739470-108.637050,14.102420
122.787820-108.637050,14.150770
122.812000-108.637050,14.174950
122.844230-108.637050,14.207180
122.876470-108.637050,14.239420
122.908700-108.637050,14.271650
122.932880-108.637050,14.295830
123.021520-108.637050,14.384470
124.351180-108.637050,15.714130
124.810520-108.637050,16.173470
124.850810-108.637050,16.213760
125.302090-108.637050,16.665040
126.067650-108.637050,17.430600
126.333580-108.637050,17.696530
126.365810-108.637050,17.728760
126.381930-108.637050,17.744880
127.074960-108.637050,18.437910
127.252250-108.637050,18.615200
127.357010-108.637050,18.719960
127.389250-108.637050,18.752200
127.413420-108.637050,18.776370
127.429540-108.637050,18.792490
127.445660-108.637050,18.808610
127.485950-108.637050,18.848900
127.832460-108.637050,19.195410
127.848580-108.637050,19.211530
127.929170-108.637050,19.292120
127.945280-108.637050,19.308230
127.993640-108.637050,19.356590
128.041990-108.637050,19.404940
128.058100-108.637050,19.421050
128.090340-108.637050,19.453290
128.106450-108.637050,19.469400
128.130630-108.637050,19.493580
128.154810-108.637050,19.517760
128.404620-108.637050,19.767570
129.081540-108.637050,20.444490
129.105710-108.637050,20.468660
129.129890-108.637050,20.492840
131.120340-108.637050,22.483290
131.144520-108.637050,22.507470
131.305690-108.637050,22.668640
131.321810-108.637050,22.684760
131.337930-108.637050,22.700880
131.370160-108.637050,22.733110
131.394330-108.637050,22.757280
131.418510-108.637050,22.781460
131.450740-108.637050,22.813690
131.474920-108.637050,22.837870
131.499100-108.637050,22.862050
131.515210-108.637050,22.878160
131.587740-108.637050,22.950690
131.611920-108.637050,22.974870
132.095430-108.637050,23.458380
132.224360-108.637050,23.587310
132.361360-108.637050,23.724310
132.401650-108.637050,23.764600
132.417770-108.637050,23.780720
132.441940-108.637050,23.804890
132.458060-108.637050,23.821010
132.474180-108.637050,23.837130
132.490300-108.637050,23.853250
132.522530-108.637050,23.885480
132.538650-108.637050,23.901600
132.554760-108.637050,23.917710
132.595060-108.637050,23.958010
132.619230-108.637050,23.982180
132.651470-108.637050,24.014420
132.683700-108.637050,24.046650
132.740110-108.637050,24.103060
132.764290-108.637050,24.127240
132.780400-108.637050,24.143350
132.836810-108.637050,24.199760
132.852930-108.637050,24.215880
132.877100-108.637050,24.240050
132.909340-108.637050,24.272290
134.956210-108.637050,26.319160
136.954720-108.637050,28.317670
136.995010-108.637050,28.357960
137.752520-108.637050,29.115470
137.816980-108.637050,29.179930
137.833100-108.637050,29.196050
137.849220-108.637050,29.212170
137.865330-108.637050,29.228280
137.889510-108.637050,29.252460
137.905630-108.637050,29.268580
137.921740-108.637050,29.284690
137.953980-108.637050,29.316930
137.978150-108.637050,29.341100
138.018450-108.637050,29.381400
138.058740-108.637050,29.421690
138.784010-108.637050,30.146960
138.816240-108.637050,30.179190
141.016220-108.637050,32.379170
141.411090-108.637050,32.774040
