Pair,Delta (microHz)
128.404620-100.634930,27.769690
129.081540-100.634930,28.446610
129.105710-100.634930,28.470780
129.129890-100.634930,28.494960
131.120340-100.634930,30.485410
131.144520-100.634930,30.509590
131.305690-100.634930,30.670760
131.321810-100.634930,30.686880
131.337930-100.634930,30.703000
131.370160-100.634930,30.735230
131.394330-100.634930,30.759400
131.418510-100.634930,30.783580
131.450740-100.634930,30.815810
131.474920-100.634930,30.839990
131.499100-100.634930,30.864170
131.515210-100.634930,30.880280
131.587740-100.634930,30.952810
131.611920-100.634930,30.976990
132.095430-100.634930,31.460500
132.224360-100.634930,31.589430
132.361360-100.634930,31.726430
132.401650-100.634930,31.766720
132.417770-100.634930,31.782840
132.441940-100.634930,31.807010
132.458060-100.634930,31.823130
132.474180-100.634930,31.839250
132.490300-100.634930,31.855370
132.522530-100.634930,31.887600
132.538650-100.634930,31.903720
132.554760-100.634930,31.919830
132.595060-100.634930,31.960130
132.619230-100.634930,31.984300
132.651470-100.634930,32.016540
132.683700-100.634930,32.048770
132.740110-100.634930,32.105180
132.764290-100.634930,32.129360
132.780400-100.634930,32.145470
132.836810-100.634930,32.201880
132.852930-100.634930,32.218000
132.877100-100.634930,32.242170
132.909340-100.634930,32.274410
134.956210-100.634930,34.321280
136.954720-100.634930,36.319790
136.995010-100.634930,36.360080
137.752520-100.634930,37.117590
137.816980-100.634930,37.182050
137.833100-100.634930,37.198170
137.849220-100.634930,37.214290
137.865330-100.634930,37.230400
137.889510-100.634930,37.254580
137.905630-100.634930,37.270700
137.921740-100.634930,37.286810
137.953980-100.634930,37.319050
137.978150-100.634930,37.343220
138.018450-100.634930,37.383520
138.058740-100.634930,37.423810
138.784010-100.634930,38.149080
138.816240-100.634930,38.181310
141.016220-100.634930,40.381290
141.411090-100.634930,40.776160
141.523910-100.634930,40.888980
141.620610-100.634930,40.985680
141.652840-100.634930,41.017910
141.685080-100.634930,41.050150
141.717310-100.634930,41.082380
142.023540-100.634930,41.388610
142.619870-100.634930,41.984940
142.644040-100.634930,42.009110
142.756860-100.634930,42.121930
142.789100-100.634930,42.154170
142.805210-100.634930,42.170280
142.853560-100.634930,42.218630
142.885800-100.634930,42.250870
142.918030-100.634930,42.283100
142.974440-100.634930,42.339510
143.030850-100.634930,42.395920
143.256490-100.634930,42.621560
146.318730-100.634930,45.683800
147.551690-100.634930,46.916760
147.648390-100.634930,47.013460
147.680620-100.634930,47.045690
147.696740-100.634930,47.061810
147.712860-100.634930,47.077930
147.753150-100.634930,47.118220
147.793440-100.634930,47.158510
148.510650-100.634930,47.875720
148.526770-100.634930,47.891840
101.239310-101.215140,0.024170
101.263490-101.215140,0.048350
101.295720-101.215140,0.080580
101.319900-101.215140,0.104760
101.344080-101.215140,0.128940
101.368250-101.215140,0.153110
101.384370-101.215140,0.169230
101.440780-101.215140,0.225640
101.456900-101.215140,0.241760
101.585830-101.215140,0.370690
101.811470-101.215140,0.596330
101.988760-101.215140,0.773620
102.399740-101.215140,1.184600
102.536740-101.215140,1.321600
102.568970-101.215140,1.353830
102.593150-101.215140,1.378010
102.633440-101.215140,1.418300
102.665670-101.215140,1.450530
102.689850-101.215140,1.474710
102.714030-101.215140,1.498890
102.730140-101.215140,1.515000
102.746260-101.215140,1.531120
102.762380-101.215140,1.547240
102.778490-101.215140,1.563350
104.970410-101.215140,3.755270
105.800440-101.215140,4.585300
105.816560-101.215140,4.601420
106.654650-101.215140,5.439510
107.234860-101.215140,6.019720
107.307390-101.215140,6.092250
107.323510-101.215140,6.108370
107.339620-101.215140,6.124480
107.355740-101.215140,6.140600
107.371860-101.215140,6.156720
107.396030-101.215140,6.180890
107.444380-101.215140,6.229240
107.484680-101.215140,6.269540
107.541090-101.215140,6.325950
107.686140-101.215140,6.471000
107.750610-101.215140,6.535470
107.847310-101.215140,6.632170
107.887600-101.215140,6.672460
107.903720-101.215140,6.688580
107.919840-101.215140,6.704700
107.935950-101.215140,6.720810
